id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
663019cc2806ef044708efe79b3869b8	0	1	1847	1	100	100%
b94dc370c1f2afc676ddd3cc5bb01551	1	1	1662	1	100	100%
F5RY70	2	2	1328	1	100	100%
A0A1B8NV72	2	2	309	0	56.63%	23%
497964.CfE428DRAFT_4916	3	1	1259	1	100	100%
M3AQ53	4	80	1230	1	100	100%
5141.EFNCRP00000005	4	80	984	0	48.88%	80%
P08619	4	80	982	0	97.96%	79%
F8MIZ1	4	80	973	0	95.89%	79%
K1X442	4	80	973	0	58.48%	79%
F7VRK6	4	80	970	0	77.94%	78%
B2AZ63	4	80	952	0	55.57%	77%
A8PD06	4	80	937	0	44.82%	76%
29850.GGTG_04111T0	4	80	930	0	53.87%	75%
Q8J259	4	80	929	0	55.54%	75%
K5W184	4	80	925	0	53.08%	75%
148304.MAPG_00524T0	4	80	924	0	87.99%	75%
A0A179H8Y3	4	80	918	0	63.83%	74%
V9NEN3	4	80	917	0	56.92%	74%
D5GLI9	4	80	913	0	84.88%	74%
G4N550	4	80	911	0	71.35%	74%
F8NVT4	4	80	911	0	67.51%	74%
A7E9A5	4	80	910	0	69.23%	73%
G2WS45	4	80	910	0	63.74%	73%
40559.EDN30738	4	80	907	0	86.66%	73%
W7MHL1	4	80	907	0	61.08%	73%
1047171.EFQ27580	4	80	904	0	76.88%	73%
A0A132BCY9	4	80	904	0	78.98%	73%
A0A0C4DHR8	4	80	904	0	94.47%	73%
A0A010R9G5	4	80	903	0	81.40%	73%
S3DGW8	4	80	903	0	75.97%	73%
W3XAM2	4	80	901	0	70.26%	73%
C7ZPN0	4	80	897	0	71.35%	72%
G2Q594	4	80	896	0	62.17%	72%
G3JCS2	4	80	896	0	61.83%	72%
Q7ZA50	4	80	893	0	82.42%	72%
5022.CBX99387	4	80	893	0	66.07%	72%
E9EM52	4	80	892	0	72.20%	72%
K3VAU8	4	80	892	0	87.67%	72%
M2R619	4	80	892	0	75.34%	72%
W6YJT3	4	80	892	0	95.63%	72%
W6ZM16	4	80	892	0	93.95%	72%
E3RJ95	4	80	891	0	80.25%	72%
S7Q0X0	4	80	890	0	62.36%	72%
M2MY36	4	80	889	0	73.79%	72%
229533.XP_382123.1	4	80	884	0	96.61%	71%
441959.XP_002478561	4	80	884	0	61.43%	71%
441960.XP_002146262	4	80	883	0	89.24%	71%
C9S773	4	80	882	0	76.64%	71%
B0DST0	4	80	880	0	59.43%	71%
V2XIP2	4	80	876	0	42.01%	71%
A0A0A2V065	4	80	875	0	59.77%	71%
C1G6K2	4	80	875	0	95.89%	71%
P22945	4	80	873	0	60.94%	70%
G0S8H0	4	80	871	0	60.05%	70%
535722.XP_003174225	4	80	871	0	52.24%	70%
559305.XP_003231517	4	80	871	0	91.50%	70%
554155.XP_002848734	4	80	871	0	89.55%	70%
33178.CADATEAP00009	4	80	869	0	74.80%	70%
5085.CADAFUBP000012	4	80	869	0	72.27%	70%
A1D2E1	4	80	869	0	98.27%	70%
E9QTT4	4	80	869	0	99.88%	70%
A1CPH9	4	80	868	0	86.41%	70%
B8N6B7	4	80	868	0	72.24%	70%
A2QRD2	4	80	867	0	81.20%	70%
B6H4U5	4	80	864	0	72.92%	70%
K9GAE2	4	80	863	0	87.37%	70%
559298.XP_002628002	4	80	861	0	74.33%	70%
R8BBA3	4	80	850	0	71.88%	69%
R1GUE7	4	80	849	0	63.60%	69%
