id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
lem:LEN_0673	0	1	1037	1	100	100%
1385517.N800_11395	1	1	1031	1	100	100%
1158292.JPOE0100000	2	1	1028	1	100	100%
1121013.P873_08845	3	1	1026	1	100	100%
75379.Tint_1304	4	2	1018	1	100	100%
426114.THI_1628	4	2	993	0	91.74%	97%
666684.AfiDRAFT_030	5	2	1011	1	100	100%
883080.HMPREF9697_0	5	2	1009	0	94.55%	99%
lcp:LC55x_4700	6	1	1009	1	100	100%
abq:ABAZ39_29985	7	5	998	1	100	100%
azt:TSH58p_19710	7	5	998	0	97.29%	100%
abf:AMK58_25710	7	5	952	0	98.11%	95%
392380348	7	5	759	0	92.89%	76%
392380349	7	5	218	0	97.71%	21%
998674.ATTE01000001	8	1	992	1	100	100%
aep:AMC99_00790	9	1	991	1	100	100%
1038869.AXAN0100000	10	1	988	1	100	100%
1218076.BAYB0100002	11	1	985	1	100	100%
667632.KB890175_gen	12	1	985	1	100	100%
1122135.KB893168_ge	13	1	984	1	100	100%
para:BTO02_21375	14	1	984	1	100	100%
1218084.BBJK0100001	15	5	983	1	100	100%
phs:C2L64_21230	15	5	983	0	96.64%	100%
1121127.JAFA0100002	15	5	978	0	90.59%	99%
bph:Bphy_6214	15	5	978	0	91.21%	99%
1038869.AXAN0100004	15	5	585	0	90.09%	59%
1121015.N789_06420	16	1	981	1	100	100%
1125973.JNLC0100001	17	1	981	1	100	100%
124266053	18	2	981	1	100	100%
metp:C1M51_13345	18	2	971	0	98.15%	98%
159450.NH14_29330	19	1	981	1	100	100%
538396105	20	5	981	1	100	100%
543728.Vapar_3815	20	5	981	0	98.37%	100%
vam:C4F17_26270	20	5	981	0	95.01%	100%
1157708.KB907460_ge	20	5	979	0	94.28%	99%
595537.Varpa_4400	20	5	979	0	94.99%	99%
1122214.AQWH0100000	21	1	979	1	100	100%
121610914	22	1	979	1	100	100%
1040987.AZUY0100000	23	18	978	1	100	100%
1040982.AXAL0100001	23	18	976	0	91.70%	99%
1040983.AXAE0100002	23	18	976	0	91.70%	99%
1082933.MEA186_1723	23	18	976	0	91.80%	99%
1287276.X752_08885	23	18	976	0	91.19%	99%
1297569.MESS2_10300	23	18	976	0	92.93%	99%
1297570.MESS4_70055	23	18	976	0	91.91%	99%
1298858.AUEL0100002	23	18	976	0	92.11%	99%
13474674	23	18	976	0	91.80%	99%
1380350.JIAP0100000	23	18	976	0	92.73%	99%
935548.KI912159_gen	23	18	976	0	92.11%	99%
