id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
316067.Geob_2581	0	14	956	1	100	100%
118581891	0	14	919	0	54.08%	96%
243231.GSU2806	0	14	919	0	81.83%	96%
404495527	0	14	919	0	92.27%	96%
404380.Gbem_2077	0	14	918	0	79.52%	96%
443143.GM18_1865	0	14	918	0	92.48%	96%
443144.GM21_2142	0	14	918	0	96.84%	96%
351605.Gura_1201	0	14	917	0	82.12%	95%
404589.Anae109_3027	0	14	917	0	76.12%	95%
398767.Glov_0639	0	14	915	0	80.00%	95%
A0A0J1FBW6	0	14	459	0	58.82%	48%
374997431	0	14	455	0	62.42%	47%
167629210	0	14	452	0	71.24%	47%
A0A0J1FRB8	0	14	451	0	88.69%	47%
91464.S7335_1681	1	83	937	1	100	100%
113477559	1	83	936	0	64.21%	99%
428209487	1	83	925	0	69.62%	98%
336178684	1	83	516	0	54.84%	55%
62928.azo0562	1	83	500	0	53.20%	53%
313612.L8106_11082	1	83	500	0	70.20%	53%
697282.Mettu_3343	1	83	498	0	72.09%	53%
A0A110AY03	1	83	491	0	74.75%	52%
390951024	1	83	487	0	68.99%	51%
288940640	1	83	484	0	86.16%	51%
A0A1M5WYL7	1	83	484	0	50.00%	51%
A0A1M7YWB8	1	83	484	0	92.98%	51%
A0A1Y6ISY8	1	83	482	0	80.08%	51%
17228933	1	83	480	0	75.21%	51%
240292.Ava_3932	1	83	480	0	99.38%	51%
333984747	1	83	479	0	85.80%	51%
A0A011QTR2	1	83	474	0	70.68%	50%
392379629	1	83	473	0	62.58%	50%
379731.PST_1333	1	83	472	0	76.48%	50%
391612.CY0110_22432	1	83	472	0	71.40%	50%
43989.cce_0563	1	83	472	0	97.25%	50%
1116375.VEJY3_18721	1	83	472	0	83.26%	50%
254785682	1	83	471	0	82.59%	50%
41431.PCC8801_1788	1	83	470	0	88.09%	50%
431932887	1	83	468	0	78.21%	49%
A0A0E9M9R7	1	83	468	0	71.58%	49%
A0A1J5SH49	1	83	468	0	92.52%	49%
A0A1J5T0Q5	1	83	468	0	91.88%	49%
A0A1J5T5N0	1	83	468	0	92.74%	49%
428203704	1	83	468	0	72.65%	49%
321327.CYA_1834	1	83	468	0	70.94%	49%
427715459	1	83	468	0	80.56%	49%
427739570	1	83	468	0	77.35%	49%
307153506	1	83	467	0	80.09%	49%
65393.PCC7424_2117	1	83	467	0	74.73%	49%
71907133	1	83	466	0	73.39%	49%
186685944	1	83	464	0	57.33%	49%
A0A1J5REL7	1	83	464	0	73.92%	49%
321332.CYB_0411	1	83	464	0	99.35%	49%
440681793	1	83	462	0	91.56%	49%
713887.UCYN_06170	1	83	462	0	74.46%	49%
117924495	1	83	461	0	69.41%	49%
312113292	1	83	461	0	73.54%	49%
