id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
529818.AMSG_12417T0	0	1	3429	1	100	100%
3067.XP_002958526.1	1	1	2670	1	100	100%
dwi:6650859	2	100	2508	1	100	100%
A0A0A1WK83	2	100	635	0	71.34%	25%
7091.BGIBMGA002508-	2	100	623	0	62.76%	24%
dqu:106741460	2	100	622	0	62.86%	24%
vem:105567284	2	100	611	0	85.11%	24%
132113.XP_003485585	2	100	609	0	79.15%	24%
7460.GB46565-PA	2	100	609	0	72.58%	24%
136037.KDR19430	2	100	590	0	71.53%	23%
A0A2J7RLW3	2	100	590	0	92.20%	23%
nvi:100116103	2	100	579	0	81.52%	23%
ags:114131414	2	100	576	0	64.76%	22%
btab:109034212	2	100	574	0	64.98%	22%
ame:552007	2	100	574	0	99.48%	22%
A0A2P8XZD1	2	100	569	0	68.19%	22%
7029.ACYPI002749-PA	2	100	567	0	94.00%	22%
7425.NV15416-PA	2	100	551	0	95.64%	21%
dpa:109542831	2	100	548	0	70.80%	21%
13249.RPRC006550-PA	2	100	547	0	61.06%	21%
103372.F4WXV2	2	100	544	0	88.05%	21%
pxy:105395671	2	100	542	0	83.39%	21%
fcd:110848777	2	100	542	0	70.11%	21%
A0A0C9RP16	2	100	542	0	81.00%	21%
6669.EFX64530	2	100	539	0	70.13%	21%
haw:110383920	2	100	536	0	85.63%	21%
tnl:113500423	2	100	536	0	91.60%	21%
nvl:108565923	2	100	536	0	72.57%	21%
7070.TC004380-PA	2	100	536	0	70.15%	21%
bter:105667204	2	100	535	0	96.45%	21%
obo:105281185	2	100	535	0	92.34%	21%
7213.XP_004533606.1	2	100	535	0	94.95%	21%
A0A0K8W317	2	100	535	0	96.07%	21%
7222.FBpp0154235	2	100	535	0	93.83%	21%
dgr:Dgri_GH13278	2	100	535	0	94.02%	21%
dvi:Dvir_GJ24408	2	100	535	0	94.95%	21%
lcq:111690475	2	100	535	0	84.67%	21%
mde:101892944	2	100	535	0	84.67%	21%
A0A2J7RLW1	2	100	534	0	91.95%	21%
121225.PHUM522260-P	2	100	533	0	70.17%	21%
7227.FBpp0083611	2	100	533	0	94.56%	21%
B4PLN4	2	100	533	0	94.75%	21%
dsi:Dsimw501_GD2093	2	100	533	0	94.75%	21%
bmor:101737082	2	100	532	0	99.25%	21%
tca:656993	2	100	530	0	98.68%	21%
7237.FBpp0282052	2	100	530	0	93.40%	21%
32264.tetur13g00130	2	100	529	0	61.81%	21%
69319.XP_008555171.	2	100	529	0	84.50%	21%
lhu:105673966	2	100	529	0	90.93%	21%
pgc:109854029	2	100	529	0	92.25%	21%
aec:105150442	2	100	529	0	92.44%	21%
43151.ADAC003117-PA	2	100	529	0	78.07%	21%
7159.AAEL014913-PA	2	100	529	0	91.87%	21%
7176.CPIJ008289-PA	2	100	529	0	89.79%	21%
cfo:105253008	2	100	520	0	82.69%	20%
pcf:106791883	2	100	520	0	88.27%	20%
A0A2H8TDH4	2	100	519	0	96.92%	20%
aga:AgaP_AGAP004596	2	100	518	0	95.17%	20%
A0A2S2NE51	2	100	517	0	88.59%	20%
V5SJ07	2	100	517	0	78.34%	20%
A0A0A1WGA2	2	100	514	0	99.42%	20%
A0A2S2NH28	2	100	510	0	97.45%	20%
pbar:105426283	2	100	482	0	91.70%	19%
A0A2S2Q0M7	2	100	467	0	94.86%	18%
aec:105151681	2	100	374	0	82.62%	14%
10224.XP_006813871.	2	100	310	0	61.61%	12%
tut:107363200	2	100	295	0	93.22%	11%
A0A4Y2X6C0	2	100	270	0	61.48%	10%
A0A024AHE1	2	100	259	0	80.31%	10%
A0A024AHE3	2	100	259	0	98.84%	10%
A0A024AHE8	2	100	259	0	98.46%	10%
A0A024AHF6	2	100	259	0	96.91%	10%
A0A024AHS3	2	100	259	0	95.75%	10%
A0A024AHT3	2	100	259	0	95.37%	10%
A0A024AHT7	2	100	259	0	96.14%	10%
A0A024AHU5	2	100	259	0	96.53%	10%
A0A024AHY4	2	100	259	0	98.84%	10%
A0A024AHY9	2	100	259	0	94.59%	10%
A0A024AHZ3	2	100	259	0	95.75%	10%
A0A024AHZ7	2	100	259	0	96.53%	10%
A0A024AIB3	2	100	259	0	96.91%	10%
A0A024AIB8	2	100	259	0	95.37%	10%
A0A024AIC3	2	100	259	0	98.84%	10%
A0A024AID1	2	100	259	0	97.68%	10%
A0A024AID5	2	100	259	0	98.46%	10%
A0A024AIX0	2	100	259	0	98.46%	10%
A0A024AIX3	2	100	259	0	97.68%	10%
A0A024AIY4	2	100	259	0	94.21%	10%
A0A024AIY9	2	100	259	0	98.84%	10%
A0A024AIZ1	2	100	259	0	98.07%	10%
A0A4Y2X5H2	2	100	258	0	98.45%	10%
A0A4Y2X6M0	2	100	247	0	99.60%	9%
A0A6G1S3K1	2	100	207	0	82.13%	8%
A0A024AIC7	2	100	163	0	94.48%	6%
A0A024AHS8	2	100	159	0	99.37%	6%
A0A6G1SEH0	2	100	138	0	81.88%	5%
12957.ACEP20395-PA	2	100	126	0	85.71%	5%
tut:107362836	2	100	123	0	86.18%	4%
12957.ACEP20397-PA	2	100	118	0	94.07%	4%
A0A2S2QFN1	2	100	100	0	71.00%	3%
32264.tetur13g00060	2	100	90	0	81.11%	3%
32264.tetur13g00110	2	100	89	0	79.78%	3%
3055.EDP01525	3	1	2430	1	100	100%
296587.XP_002503288	4	1	2197	1	100	100%
55529.EKX53755	5	1	2193	1	100	100%
3055.EDO97875	6	4	2159	1	100	100%
3067.XP_002947193.1	6	4	1845	0	81.52%	85%
A8JDX9	6	4	432	0	94.44%	20%
A8JDY0	6	4	421	0	99.05%	19%
38833.XP_003058448.	7	1	1987	1	100	100%
218851.Aquca_026_00	8	141	1762	1	100	100%
37682.EMT22829	8	141	1290	0	60.62%	73%
85681.XP_006419747.	8	141	1096	0	74.09%	62%
4537.OPUNC05G14140.	8	141	1047	0	78.51%	59%
29760.VIT_05s0020g0	8	141	1011	0	81.11%	57%
dzi:111307157	8	141	1001	0	80.02%	56%
mcha:111009223	8	141	998	0	80.66%	56%
rcn:112200482	8	141	997	0	76.93%	56%
161934.XP_010684552	8	141	988	0	74.90%	56%
29730.Gorai.011G181	8	141	981	0	81.86%	55%
ghi:107897656	8	141	981	0	99.29%	55%
pmum:103322886	8	141	980	0	81.33%	55%
dzi:111279865	8	141	977	0	91.91%	55%
ini:109176574	8	141	976	0	80.64%	55%
4432.XP_010242550.1	8	141	974	0	81.83%	55%
pop:7497997	8	141	973	0	81.50%	55%
psom:113336741	8	141	972	0	80.35%	55%
3218.PP1S23_50V6.1	8	141	972	0	71.81%	55%
3694.POPTR_0010s028	8	141	972	0	76.34%	55%
3641.EOY06314	8	141	971	0	90.22%	55%
