id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
smin:v1.2.014110.t1	0	1	2044	1	100	100%
smin:v1.2.005938.t2	1	2	2028	1	100	100%
smin:v1.2.005938.t1	1	2	1190	0	91.76%	58%
spis:111344466	2	1	2025	1	100	100%
5874.XP_952138.1	3	1	1725	1	100	100%
110365.A0A023BA22	4	1	1683	1	100	100%
5297.GMQ_17303T0	5	1	1671	1	100	100%
smin:v1.2.030989.t2	6	2	1563	1	100	100%
smin:v1.2.030989.t1	6	2	1214	0	97.53%	77%
5888.CAK81440	7	1	1552	1	100	100%
68886.XP_009690609.	8	1	1468	1	100	100%
cho:Chro.20231	9	2	1426	1	100	100%
cpv:cgd2_2130	9	2	1426	0	99.16%	100%
5297.GMQ_21242T0	10	2	1417	1	100	100%
pgr:PGTG_01136	10	2	359	0	97.21%	25%
29176.XP_003881945.	11	2	1400	1	100	100%
99158.XP_008887818.	11	2	1397	0	90.62%	99%
3702.AT1G18270.3	12	2	1393	1	100	100%
59689.fgenesh2_kg.1	12	2	1376	0	90.19%	98%
5808.XP_002139580.1	13	1	1380	1	100	100%
3712.Bo5g025240.1	14	9	1379	1	100	100%
50452.A0A087HPD9	14	9	1377	0	91.07%	99%
72658.Bostr.7128s04	14	9	1376	0	91.86%	99%
72664.XP_006416624.	14	9	1376	0	93.10%	99%
90675.XP_010477002.	14	9	1376	0	91.57%	99%
90675.XP_010459440.	14	9	1375	0	91.49%	99%
264402.Cagra.0909s0	14	9	1374	0	90.68%	99%
81985.XP_006306068.	14	9	1373	0	90.75%	99%
3711.Bra025920.1-P	14	9	1340	0	96.72%	97%
4558.Sb10g009360.1	15	3	1379	1	100	100%
38727.Pavir.J12638.	15	3	125	0	90.40%	9%
38727.Pavir.J39246.	15	3	125	0	92.00%	9%
28532.XP_010537502.	16	1	1378	1	100	100%
4537.OPUNC06G09520.	17	1	1376	1	100	100%
4155.Migut.I00270.1	18	1	1374	1	100	100%
57918.XP_004301248.	19	1	1371	1	100	100%
225117.XP_009360071	20	4	1369	1	100	100%
3750.XP_008393431.1	20	4	1369	0	97.15%	100%
102107.XP_008240140	20	4	1367	0	90.34%	99%
3760.EMJ11626	20	4	1251	0	91.61%	91%
110365.A0A023B5V9	21	1	1342	1	100	100%
5865.XP_001610135.1	22	1	1337	1	100	100%
5872.XP_004829199.1	23	1	1332	1	100	100%
cho:Chro.30172	24	2	1328	1	100	100%
cpv:cgd3_1400	24	2	1327	0	97.44%	99%
2711.XP_006490836.1	25	1	1322	1	100	100%
bmic:BMR1_02g02830	26	1	1311	1	100	100%
4537.OPUNC09G12560.	27	1	1237	1	100	100%
dpte:113788327	28	1	1231	1	100	100%
hbr:110656716	29	5	1231	1	100	100%
3983.cassava4.1_004	29	5	566	0	91.17%	45%
hbr:110631934	29	5	566	0	91.34%	45%
jcu:105649286	29	5	566	0	90.64%	45%
A0A068LQF2	29	5	560	0	92.14%	45%
29176.XP_003884204.	30	1	1226	1	100	100%
5811.TGME49_026960	31	2	1225	1	100	100%
99158.XP_008882069.	31	2	1225	0	96.57%	100%
A0A0U1LZB2	32	1	1215	1	100	100%
264951.V5G9N2	33	1	1214	1	100	100%
smin:v1.2.009288.t1	34	2	1202	1	100	100%
smin:v1.2.006268.t1	34	2	213	0	92.49%	17%
2880.D7FV23	35	1	1147	1	100	100%
5888.CAK94614	36	1	1144	1	100	100%
dpte:113794541	37	1	1134	1	100	100%
