id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
433603321	0	1	744	1	100	100%
1206729.BAFZ0100003	1	1	728	1	100	100%
1077974.GOEFS_061_0	2	1	727	1	100	100%
1237500.ANBA0100000	3	1	727	1	100	100%
1245475.ANAE0100018	4	1	727	1	100	100%
nfr:ERS450000_02686	5	1	726	1	100	100%
1298880.AUEV0100000	6	1	725	1	100	100%
1112204.GPOL_c29300	7	1	724	1	100	100%
1206739.BAGJ0100005	8	1	724	1	100	100%
gom:D7316_00115	9	1	721	1	100	100%
samb:SAM23877_2583	10	1	719	1	100	100%
302869294	11	1	718	1	100	100%
1089545.KB913037_ge	12	1	715	1	100	100%
931627.MycrhDRAFT_4	13	1	715	1	100	100%
scz:ABE83_25405	14	1	714	1	100	100%
strm:M444_12445	15	1	712	1	100	100%
58123.JOFJ01000001_	16	1	711	1	100	100%
649831.L083_1589	17	1	710	1	100	100%
1116232.AHBF0100005	18	1	709	1	100	100%
330469596	19	1	709	1	100	100%
apre:CNX65_06235	20	1	709	1	100	100%
kphy:AOZ06_12055	21	1	709	1	100	100%
mchi:AN480_10265	22	1	709	1	100	100%
318424.EU78_17390	23	1	708	1	100	100%
1463821.JOGR0100000	24	1	707	1	100	100%
mdx:BTO20_12400	25	1	707	1	100	100%
strc:AA958_09285	26	1	707	1	100	100%
noa:BKM31_33225	27	1	705	1	100	100%
1121926.AXWO0100001	28	1	704	1	100	100%
710686.Mycsm_04092	29	1	703	1	100	100%
slx:SLAV_24810	30	1	702	1	100	100%
1123024.AUII0100000	31	1	700	1	100	100%
403511041	32	1	700	1	100	100%
862751.SACTE_1958	33	1	698	1	100	100%
1288079.AUKN0100001	34	1	695	1	100	100%
711393.AYRX01000022	35	1	695	1	100	100%
1278078.G419_17632	36	1	692	1	100	100%
1957.JODX01000001_g	37	1	690	1	100	100%
1157632.AQWQ0100000	38	1	689	1	100	100%
285535.JOEY01000013	39	1	688	1	100	100%
1463820.JOGW0100001	40	1	685	1	100	100%
led:BBK82_03925	41	1	684	1	100	100%
103733.JNYO01000002	42	1	683	1	100	100%
slau:SLA_2214	43	1	683	1	100	100%
1996.JOFO01000008_g	44	1	682	1	100	100%
1265310.CCBD0100000	45	1	679	1	100	100%
1157943.KB892705_ge	46	1	678	1	100	100%
1289387.AUKW0100001	47	1	677	1	100	100%
1054860.KB913030_ge	48	1	676	1	100	100%
40571.JOEA01000001_	49	1	669	1	100	100%
1122138.AQUZ0100000	50	1	665	1	100	100%
330084.JNYZ01000011	51	1	657	1	100	100%
256375387	52	1	654	1	100	100%
1108045.GORHZ_084_0	53	1	652	1	100	100%
1370121.AUWS0100006	54	1	652	1	100	100%
1206730.BAGA0100005	55	1	648	1	100	100%
1150469.RSPPHO_0067	56	1	634	1	100	100%
1209984.BN978_07573	57	1	618	1	100	100%
521459761	58	1	612	1	100	100%
ane:AN27039_2938	59	1	576	1	100	100%
345341.KUTG_03260	60	1	571	1	100	100%
1341695.BBOMB_0471	61	1	568	1	100	100%
WP_146691876.1	62	1	566	1	100	100%
rdp:RD2015_4460	63	1	509	1	100	100%
1120988.AXWV0100006	64	1	502	1	100	100%
samy:DB32_006303	65	1	492	1	100	100%
1687.BCOR_0746	66	1	458	1	100	100%
WP_082561259.1	67	1	458	1	100	100%
A0A7X7GVV6	68	1	441	1	100	100%
328544469	69	1	435	1	100	100%
bcee:V568_100983	70	1	434	1	100	100%
77635.BISU_0930	71	1	428	1	100	100%
1437606.BBOH_0227	72	1	422	1	100	100%
311114844	73	1	415	1	100	100%
1437608.BBIA_1772	74	1	413	1	100	100%
btp:D805_0980	75	1	413	1	100	100%
1437603.BMON_0276	76	1	411	1	100	100%
1122228.AQXR0100001	77	1	409	1	100	100%
1122602.ATXP0100000	78	1	408	1	100	100%
944560.HMPREF9058_2	79	1	408	1	100	100%
1125718.HMPREF1318_	80	1	406	1	100	100%
653386.HMPREF0975_0	81	1	406	1	100	100%
562973.HMPREF0059_0	82	1	405	1	100	100%
gbs:GbCGDNIH4_0117	83	1	404	1	100	100%
msal:DSM43276_01530	84	1	404	1	100	100%
actc:CHIBA101_1051	85	1	403	1	100	100%
actp:B6G06_05350	86	1	403	1	100	100%
1192034.CAP_1810	87	1	402	1	100	100%
rum:CK1_06950	88	1	402	1	100	100%
1177594.MIC448_1170	89	1	401	1	100	100%
1437609.BCAL_1804	90	1	400	1	100	100%
stri:C7M71_008650	91	1	400	1	100	100%
1394176.AWUO0100001	92	1	399	1	100	100%
158421633	93	1	399	1	100	100%
mos:AXE82_10670	94	1	399	1	100	100%
1123242.JH636435_ge	95	1	398	1	100	100%
556268.OFAG_01173	96	1	398	1	100	100%
1147128.BAST_0857	97	1	397	1	100	100%
1307834.BARL0100000	98	1	397	1	100	100%
414344462	99	1	397	1	100	100%
gva:HMPREF0424_0864	100	1	397	1	100	100%
myl:C3E77_08215	101	1	397	1	100	100%
WP_010502461.1	102	1	397	1	100	100%
114326781	103	1	395	1	100	100%
1120944.JONS0100000	104	1	394	1	100	100%
312309.VF_0758	105	1	394	1	100	100%
326426.Bbr_0917	106	1	394	1	100	100%
556269.ACDQ01000003	107	1	394	1	100	100%
bbrd:BBBR_0878	108	1	394	1	100	100%
gal:A0U94_04150	109	1	394	1	100	100%
ofo:BRW83_1846	110	1	394	1	100	100%
WP_064274063.1	111	1	394	1	100	100%
1045856.EcWSU1_0123	112	1	393	1	100	100%
1382230.ASAP_0090	113	1	393	1	100	100%
256396156	114	1	393	1	100	100%
290633.GOX2008	115	1	393	1	100	100%
33905.BTHE_1036	116	1	393	1	100	100%
553385.JEMF01000019	117	1	393	1	100	100%
A0A067Z4K1	118	1	393	1	100	100%
abg:Asbog_01654	119	1	393	1	100	100%
oai:OLEAN_C08110	120	1	393	1	100	100%
panr:A7J50_5120	121	1	393	1	100	100%
WP_062456719.1	122	1	393	1	100	100%
1120919.AUBI0100000	123	1	392	1	100	100%
162147626	124	1	392	1	100	100%
