id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
A0A0U5IQ41	0	1	1258	1	100	100%
I6WH63	1	204	1202	1	100	100%
I6X1V3	1	204	1202	0	90.52%	100%
I6XBL4	1	204	1202	0	92.26%	100%
I6W6H3	1	204	1199	0	95.91%	99%
M1GLF8	1	204	108	0	74.07%	8%
M1GLH5	1	204	108	0	98.15%	8%
M1GLE4	1	204	107	0	96.26%	8%
M1GLE5	1	204	107	0	98.13%	8%
M1GLE7	1	204	107	0	96.26%	8%
M1GLE8	1	204	107	0	98.13%	8%
M1GLF1	1	204	107	0	96.26%	8%
M1GLF3	1	204	107	0	97.20%	8%
M1GLF4	1	204	107	0	93.46%	8%
M1GLF5	1	204	107	0	97.20%	8%
M1GLF6	1	204	107	0	94.39%	8%
M1GLF7	1	204	107	0	97.20%	8%
M1GLF9	1	204	107	0	98.13%	8%
M1GLG1	1	204	107	0	93.46%	8%
M1GLG2	1	204	107	0	95.33%	8%
M1GLG3	1	204	107	0	98.13%	8%
M1GLG6	1	204	107	0	97.20%	8%
M1GLG9	1	204	107	0	98.13%	8%
M1GLH1	1	204	107	0	93.46%	8%
M1GLH3	1	204	107	0	96.26%	8%
M1GLH4	1	204	107	0	93.46%	8%
M1GLY1	1	204	107	0	98.13%	8%
M1GLY2	1	204	107	0	93.46%	8%
M1GLY8	1	204	107	0	97.20%	8%
M1GLY9	1	204	107	0	92.52%	8%
M1GLZ8	1	204	107	0	93.46%	8%
M1GM04	1	204	107	0	98.13%	8%
M1GM08	1	204	107	0	93.46%	8%
M1GM09	1	204	107	0	97.20%	8%
M1GM10	1	204	107	0	93.46%	8%
M1GM11	1	204	107	0	98.13%	8%
M1GMH7	1	204	107	0	98.13%	8%
M1GMI0	1	204	107	0	97.20%	8%
M1GMI2	1	204	107	0	93.46%	8%
M1GMJ5	1	204	107	0	93.46%	8%
M1GMJ6	1	204	107	0	96.26%	8%
M1GMK0	1	204	107	0	95.33%	8%
M1GMK5	1	204	107	0	94.39%	8%
M1GMK7	1	204	107	0	96.26%	8%
M1GMK9	1	204	107	0	96.26%	8%
M1GML3	1	204	107	0	98.13%	8%
M1GMM6	1	204	107	0	93.46%	8%
M1GMM8	1	204	107	0	93.46%	8%
M1GMN0	1	204	107	0	97.20%	8%
M1GMP3	1	204	107	0	97.20%	8%
M1GMX0	1	204	107	0	95.33%	8%
M1GMX4	1	204	107	0	95.33%	8%
M1GMY1	1	204	107	0	97.20%	8%
M1GMY5	1	204	107	0	96.26%	8%
M1GMZ0	1	204	107	0	99.07%	8%
M1GMZ7	1	204	107	0	98.13%	8%
M1GN01	1	204	107	0	98.13%	8%
M1GN06	1	204	107	0	98.13%	8%
M1GN11	1	204	107	0	98.13%	8%
M1GN13	1	204	107	0	99.07%	8%
M1GN15	1	204	107	0	98.13%	8%
M1GN17	1	204	107	0	97.20%	8%
M1GN19	1	204	107	0	98.13%	8%
M1GN22	1	204	107	0	96.26%	8%
M1GN25	1	204	107	0	98.13%	8%
M1GPH5	1	204	107	0	92.52%	8%
M1GPI9	1	204	107	0	98.13%	8%
M1GPK9	1	204	107	0	96.26%	8%
M1GPL2	1	204	107	0	98.13%	8%
M1GPL6	1	204	107	0	97.20%	8%
M1GPM1	1	204	107	0	96.26%	8%
M1GPN0	1	204	107	0	98.13%	8%
M1GPN2	1	204	107	0	91.59%	8%
M1GPN6	1	204	107	0	93.46%	8%
M1GPP5	1	204	107	0	96.26%	8%
M1GPQ2	1	204	107	0	95.33%	8%
M1GPQ4	1	204	107	0	98.13%	8%
A4ZEY2	1	204	106	0	74.53%	8%
A4ZEZ8	1	204	106	0	89.62%	8%
A4ZF01	1	204	106	0	94.34%	8%
A4ZF05	1	204	106	0	92.45%	8%
A4ZF15	1	204	106	0	95.28%	8%
A4ZEY9	1	204	106	0	91.51%	8%
A4ZEZ0	1	204	106	0	91.51%	8%
A4ZEZ2	1	204	106	0	96.23%	8%
A4ZEZ3	1	204	106	0	97.17%	8%
A4ZEZ4	1	204	106	0	96.23%	8%
A4ZEZ5	1	204	106	0	91.51%	8%
A4ZEZ6	1	204	106	0	91.51%	8%
A4ZEZ7	1	204	106	0	90.57%	8%
A4ZEZ9	1	204	106	0	91.51%	8%
A4ZF00	1	204	106	0	92.45%	8%
A4ZF02	1	204	106	0	91.51%	8%
A4ZF03	1	204	106	0	93.40%	8%
A4ZF04	1	204	106	0	92.45%	8%
A4ZF06	1	204	106	0	95.28%	8%
A4ZF07	1	204	106	0	97.17%	8%
A4ZF09	1	204	106	0	98.11%	8%
A4ZF10	1	204	106	0	90.57%	8%
A4ZF11	1	204	106	0	95.28%	8%
A4ZF13	1	204	106	0	95.28%	8%
A4ZF18	1	204	106	0	93.40%	8%
A4ZF19	1	204	106	0	90.57%	8%
A4ZF20	1	204	106	0	91.51%	8%
A4ZF21	1	204	106	0	91.51%	8%
A4ZF22	1	204	106	0	98.11%	8%
A4ZF24	1	204	106	0	91.51%	8%
A4ZF25	1	204	106	0	97.17%	8%
A0A0A1E6M3	1	204	101	0	94.06%	8%
A0A0A1E6N4	1	204	101	0	93.07%	8%
A0A0A1E6P7	1	204	101	0	94.06%	8%
A0A0A1E6R2	1	204	101	0	94.06%	8%
A0A0A1E6R6	1	204	101	0	93.07%	8%
A0A0A1E7Q0	1	204	101	0	94.06%	8%
A0A0A1E7Q9	1	204	101	0	93.07%	8%
A0A0A1E7R8	1	204	101	0	94.06%	8%
A0A0A1E7S4	1	204	101	0	91.09%	8%
A0A0A1E7V0	1	204	101	0	94.06%	8%
A0A0A1E954	1	204	101	0	95.05%	8%
A0A0A1E965	1	204	101	0	93.07%	8%
A0A0A1E975	1	204	101	0	94.06%	8%
A0A0A1E992	1	204	101	0	93.07%	8%
A0A0A1E997	1	204	101	0	94.06%	8%
A0A0A1E9A6	1	204	101	0	93.07%	8%
A0A0A1E9D1	1	204	101	0	94.06%	8%
A0A0A1E9E0	1	204	101	0	94.06%	8%
A0A0A1E9G5	1	204	101	0	94.06%	8%
A0A0A1EBY6	1	204	101	0	93.07%	8%
A0A0A1EBZ1	1	204	101	0	94.06%	8%
A0A0A1EC14	1	204	101	0	94.06%	8%
A0A0A1EC19	1	204	101	0	96.04%	8%
B7VEJ9	1	204	96	0	93.75%	7%
D3GH11	1	204	94	0	93.62%	7%
D3GH29	1	204	94	0	92.55%	7%
D3GH50	1	204	94	0	92.55%	7%
D3GH76	1	204	94	0	91.49%	7%
D3GHB1	1	204	94	0	91.49%	7%
D3GHC0	1	204	94	0	94.68%	7%
D3GH15	1	204	94	0	92.55%	7%
D3GH18	1	204	94	0	95.74%	7%
D3GH20	1	204	94	0	92.55%	7%
D3GH30	1	204	94	0	95.74%	7%
D3GH31	1	204	94	0	94.68%	7%
D3GH37	1	204	94	0	94.68%	7%
D3GH38	1	204	94	0	95.74%	7%
D3GH39	1	204	94	0	95.74%	7%
D3GH43	1	204	94	0	93.62%	7%
D3GH44	1	204	94	0	94.68%	7%
D3GH46	1	204	94	0	93.62%	7%
D3GH57	1	204	94	0	93.62%	7%
D3GH62	1	204	94	0	96.81%	7%
D3GH63	1	204	94	0	94.68%	7%
D3GH67	1	204	94	0	93.62%	7%
D3GH68	1	204	94	0	93.62%	7%
D3GH69	1	204	94	0	95.74%	7%
D3GH71	1	204	94	0	93.62%	7%
D3GH73	1	204	94	0	95.74%	7%
D3GH75	1	204	94	0	94.68%	7%
D3GH77	1	204	94	0	92.55%	7%
D3GH80	1	204	94	0	97.87%	7%
D3GH81	1	204	94	0	94.68%	7%
D3GH82	1	204	94	0	92.55%	7%
D3GH83	1	204	94	0	96.81%	7%
D3GH86	1	204	94	0	90.43%	7%
D3GHA1	1	204	94	0	93.62%	7%
D3GHA2	1	204	94	0	93.62%	7%
D3GHA3	1	204	94	0	94.68%	7%
D3GHA4	1	204	94	0	90.43%	7%
D3GHA6	1	204	94	0	94.68%	7%
D3GHA9	1	204	94	0	94.68%	7%
D3GHB2	1	204	94	0	94.68%	7%
D3GHB3	1	204	94	0	93.62%	7%
D3GHB4	1	204	94	0	94.68%	7%
D3GHB5	1	204	94	0	94.68%	7%
D3GHB8	1	204	94	0	95.74%	7%
D3GHC3	1	204	94	0	90.43%	7%
K4P5F4	1	204	94	0	96.81%	7%
K4P5K7	1	204	94	0	92.55%	7%
K4P5Q1	1	204	94	0	96.81%	7%
K4P7R0	1	204	94	0	97.87%	7%
K4P7Y7	1	204	94	0	96.81%	7%
K4P800	1	204	94	0	96.81%	7%
K4PIM6	1	204	94	0	96.81%	7%
K4PIN0	1	204	94	0	96.81%	7%
K4PIP1	1	204	94	0	97.87%	7%
K4PIP5	1	204	94	0	96.81%	7%
K4PIR0	1	204	94	0	96.81%	7%
D3GHC2	1	204	93	0	94.62%	7%
T2HFW0	1	204	91	0	92.31%	7%
T2HFY4	1	204	91	0	92.31%	7%
T2HG21	1	204	91	0	92.31%	7%
T2HG42	1	204	91	0	92.31%	7%
T2HGH3	1	204	91	0	92.31%	7%
T2HGR0	1	204	91	0	92.31%	7%
T2HGR5	1	204	91	0	92.31%	7%
T2HII6	1	204	90	0	92.22%	7%
T2HFZ3	1	204	89	0	93.26%	7%
