id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
1565129.JSFF0100000	0	1	765	1	100	100%
401526.TcarDRAFT_07	1	1	765	1	100	100%
94122.Shewana3_3619	2	1	764	1	100	100%
sbm:Shew185_0531	3	1	764	1	100	100%
sbn:Sbal195_0555	4	1	764	1	100	100%
she:Shewmr4_3444	5	1	764	1	100	100%
shm:Shewmr7_0507	6	1	764	1	100	100%
1236541.BALL0100004	7	1	763	1	100	100%
24375549	8	1	760	1	100	100%
318167.Sfri_1999	9	1	760	1	100	100%
323850.Shew_0608	10	1	760	1	100	100%
326297.Sama_3177	11	1	760	1	100	100%
425104.Ssed_4047	12	1	760	1	100	100%
sbb:Sbal175_0622	13	1	760	1	100	100%
sbj:CF168_02695	14	1	760	1	100	100%
sbp:Sbal223_0559	15	1	760	1	100	100%
shew:CKQ84_11085	16	1	760	1	100	100%
shf:CEQ32_19375	17	1	760	1	100	100%
shp:Sput200_0542	18	1	760	1	100	100%
smav:CFF01_02980	19	1	760	1	100	100%
WP_037422510.1	20	1	760	1	100	100%
WP_039978443.1	21	1	760	1	100	100%
WP_047536320.1	22	1	760	1	100	100%
WP_055647069.1	23	1	760	1	100	100%
WP_069454223.1	24	1	760	1	100	100%
WP_101031587.1	25	1	760	1	100	100%
WP_115138739.1	26	1	760	1	100	100%
WP_124011450.1	27	1	760	1	100	100%
WP_124730919.1	28	1	760	1	100	100%
WP_126506260.1	29	1	760	1	100	100%
WP_133178343.1	30	1	760	1	100	100%
WP_137227093.1	31	1	760	1	100	100%
WP_140234220.1	32	1	760	1	100	100%
WP_140907416.1	33	1	760	1	100	100%
WP_140933954.1	34	1	760	1	100	100%
WP_144344840.1	35	1	760	1	100	100%
WP_144376285.1	36	1	760	1	100	100%
1005999.GLGR_1729	37	1	759	1	100	100%
1111728.ATYS0100001	38	1	759	1	100	100%
308051340	39	1	759	1	100	100%
667121.ET1_05_01400	40	1	759	1	100	100%
edl:AAZ33_09395	41	1	759	1	100	100%
edw:QY76_11045	42	1	759	1	100	100%
eho:A9798_08680	43	1	759	1	100	100%
etc:ETAC_08455	44	1	759	1	100	100%
I2AWF5	45	1	759	1	100	100%
lri:NCTC12151_02197	46	1	759	1	100	100%
phau:PH4a_01215	47	1	759	1	100	100%
pvg:CRN77_09800	48	1	759	1	100	100%
salg:BS332_04285	49	1	759	1	100	100%
WP_004243777.1	50	1	759	1	100	100%
WP_004248412.1	51	1	759	1	100	100%
WP_004250656.1	52	1	759	1	100	100%
WP_012368115.1	53	1	759	1	100	100%
WP_012848683.1	54	1	759	1	100	100%
WP_017627977.1	55	1	759	1	100	100%
WP_017827877.1	56	1	759	1	100	100%
WP_036895295.1	57	1	759	1	100	100%
WP_036900211.1	58	1	759	1	100	100%
WP_036907778.1	59	1	759	1	100	100%
WP_036912585.1	60	1	759	1	100	100%
WP_036935481.1	61	1	759	1	100	100%
WP_041701188.1	62	1	759	1	100	100%
WP_049200742.1	63	1	759	1	100	100%
WP_060557991.1	64	1	759	1	100	100%
WP_060961328.1	65	1	759	1	100	100%
WP_063108431.1	66	1	759	1	100	100%
WP_069367885.1	67	1	759	1	100	100%
WP_069578667.1	68	1	759	1	100	100%
WP_074561511.1	69	1	759	1	100	100%
WP_074923852.1	70	1	759	1	100	100%
WP_094960108.1	71	1	759	1	100	100%
WP_104836553.1	72	1	759	1	100	100%
WP_109392218.1	73	1	759	1	100	100%
WP_109396415.1	74	1	759	1	100	100%
WP_109399869.1	75	1	759	1	100	100%
WP_109407170.1	76	1	759	1	100	100%
WP_109745812.1	77	1	759	1	100	100%
WP_109847171.1	78	1	759	1	100	100%
WP_112843119.1	79	1	759	1	100	100%
WP_113977092.1	80	1	759	1	100	100%
WP_124725279.1	81	1	759	1	100	100%
WP_129765431.1	82	1	759	1	100	100%
WP_136499303.1	83	1	759	1	100	100%
WP_136862782.1	84	1	759	1	100	100%
WP_150024393.1	85	1	759	1	100	100%
WP_152110462.1	86	1	759	1	100	100%
1005994.GTGU_03883	87	1	758	1	100	100%
1197719.A464_2189	88	1	758	1	100	100%
1336233.JAEH0100004	89	1	758	1	100	100%
225849.swp_1238	90	1	758	1	100	100%
238919750	91	1	758	1	100	100%
398579.Spea_3039	92	1	758	1	100	100%
458817.Shal_3127	93	1	758	1	100	100%
A0A2L1K4C9	94	1	758	1	100	100%
A0A2L1K4D9	95	1	758	1	100	100%
A0A2L1K4E4	96	1	758	1	100	100%
A0A3J4MMI8	97	1	758	1	100	100%
A0A3J4PNU8	98	1	758	1	100	100%
A0A3K9B4U1	99	1	758	1	100	100%
A0A3Q9L4Q4	100	1	758	1	100	100%
A0A3R0C017	101	1	758	1	100	100%
A0A3R0XSN9	102	1	758	1	100	100%
A0A3R1AJB8	103	1	758	1	100	100%
A0A3U7BSF6	104	1	758	1	100	100%
A0A3V2N1Y0	105	1	758	1	100	100%
A0A3V2QV92	106	1	758	1	100	100%
A0A3V2SLS6	107	1	758	1	100	100%
A0A3V2XRA5	108	1	758	1	100	100%
A0A3V3PDB4	109	1	758	1	100	100%
A0A3V3RWE4	110	1	758	1	100	100%
A0A3V3XGR4	111	1	758	1	100	100%
A0A3V4R5M2	112	1	758	1	100	100%
A0A3V5MG33	113	1	758	1	100	100%
A0A3V5SPB0	114	1	758	1	100	100%
A0A3V6AJN6	115	1	758	1	100	100%
A0A3V7F7U4	116	1	758	1	100	100%
A0A3V7ZNZ4	117	1	758	1	100	100%
A0A3V8FLP6	118	1	758	1	100	100%
A0A3V8W4I5	119	1	758	1	100	100%
A0A3V9C1D4	120	1	758	1	100	100%
A0A3V9ECE1	121	1	758	1	100	100%
A0A3V9UBV2	122	1	758	1	100	100%
A0A3W1FYS7	123	1	758	1	100	100%
A0A3W6VUW2	124	1	758	1	100	100%
A0A3W7EVI4	125	1	758	1	100	100%
A0A3W7I4L9	126	1	758	1	100	100%
A0A3W7XC64	127	1	758	1	100	100%
A0A3W7ZBU7	128	1	758	1	100	100%
A0A3W8YP58	129	1	758	1	100	100%
A0A3X0H8X9	130	1	758	1	100	100%
A0A3X0MZ56	131	1	758	1	100	100%
A0A3X1BUP4	132	1	758	1	100	100%
A0A3X4WHJ0	133	1	758	1	100	100%
A0A3X5TKZ1	134	1	758	1	100	100%
A0A3X6TU46	135	1	758	1	100	100%
A0A3X7PT82	136	1	758	1	100	100%
A0A3X7XJ37	137	1	758	1	100	100%
A0A3Y2FIG5	138	1	758	1	100	100%
A0A3Y3FSP2	139	1	758	1	100	100%
A0A3Y4SH61	140	1	758	1	100	100%
A0A3Y5CRD3	141	1	758	1	100	100%
A0A3Y6CKU6	142	1	758	1	100	100%
A0A3Y6P5Y7	143	1	758	1	100	100%
A0A3Y7H8D5	144	1	758	1	100	100%
A0A3Y7RUD2	145	1	758	1	100	100%
A0A3Y7S4K0	146	1	758	1	100	100%
A0A3Y8SSA9	147	1	758	1	100	100%
A0A3Z0NIS1	148	1	758	1	100	100%
A0A3Z1C186	149	1	758	1	100	100%
A0A3Z1KZ25	150	1	758	1	100	100%
A0A3Z1VD02	151	1	758	1	100	100%
A0A3Z2A367	152	1	758	1	100	100%
