id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
1298864.AUEQ0100000	0	1	6971	1	100	100%
1380386.JIAW0100000	1	1	6426	1	100	100%
1341646.CBMO0100001	2	1	5873	1	100	100%
547163.BN979_01748	3	1	5014	1	100	100%
WP_065070602.1	4	1	4973	1	100	100%
A0A378UX34	5	1	3471	1	100	100%
32057.KB217478_gene	6	1	3275	1	100	100%
211165.AJLN01000149	7	1	2872	1	100	100%
313624.NSP_6490	8	1	2698	1	100	100%
460265.Mnod_0484	9	1	2668	1	100	100%
1392490.JHZX0100000	10	1	2618	1	100	100%
118163.Ple7327_1998	11	1	2563	1	100	100%
317936.Nos7107_0396	12	1	2335	1	100	100%
427703106	13	1	2308	1	100	100%
npu:Npun_R6593	14	1	2068	1	100	100%
calo:Cal7507_2519	15	1	2066	1	100	100%
cyt:cce_3494	16	1	1976	1	100	100%
533240.CRC_02689	17	1	1927	1	100	100%
434402778	18	1	1925	1	100	100%
440684431	19	1	1923	1	100	100%
163908.KB235896_gen	20	1	1922	1	100	100%
329726.AM1_3076	21	1	1881	1	100	100%
nfl:COO91_00480	22	1	1807	1	100	100%
1541065.JRFE0100001	23	1	1694	1	100	100%
1487953.JMKF0100003	24	1	1678	1	100	100%
28072.Nos7524_2967	25	1	1515	1	100	100%
864702.OsccyDRAFT_4	26	1	1408	1	100	100%
434391882	27	1	1406	1	100	100%
203124.Tery_2777	28	1	1372	1	100	100%
1385935.N836_19390	29	1	1368	1	100	100%
98439.AJLL01000005_	30	1	1358	1	100	100%
fis:FIS3754_45580	31	1	1358	1	100	100%
1173023.KE650771_ge	32	1	1355	1	100	100%
13035.Dacsa_1065	33	1	1350	1	100	100%
1173020.Cha6605_247	34	1	1348	1	100	100%
272123.Anacy_4974	35	1	1326	1	100	100%
313612.L8106_11862	36	1	1309	1	100	100%
chon:NIES4102_22490	37	1	1308	1	100	100%
32057.KB217478_gene	38	1	1304	1	100	100%
1170562.Cal6303_480	39	1	1303	1	100	100%
883067.HMPREF9237_0	40	1	1266	1	100	100%
asg:FB03_04040	41	1	1258	1	100	100%
883066.HMPREF9233_0	42	1	1251	1	100	100%
avu:BK816_01545	43	1	1247	1	100	100%
66692.ABC0351	44	1	1236	1	100	100%
1463920.JOGB0100001	45	1	1213	1	100	100%
ncn:BZZ01_05560	46	1	1153	1	100	100%
313612.L8106_11877	47	1	1121	1	100	100%
fis:FIS3754_27940	48	1	1089	1	100	100%
cgv:CGLAU_00795	49	1	1083	1	100	100%
1120945.ATUW0100000	50	1	1076	1	100	100%
1232427.CAVS0200000	51	1	1076	1	100	100%
888439.HMPREF9240_0	52	1	1071	1	100	100%
1125779.HMPREF1219_	53	1	1064	1	100	100%
cut:CUTER_10775	54	1	1060	1	100	100%
A0A239YG33	55	1	1059	1	100	100%
WP_038609230.1	56	1	1059	1	100	100%
WP_095535247.1	57	1	1059	1	100	100%
1121897.AUGO0100000	58	1	1055	1	100	100%
1157637.KB892091_ge	59	1	1050	1	100	100%
585529.HMPREF0291_1	60	1	1044	1	100	100%
1121356.AQUW0100000	61	1	1028	1	100	100%
nfl:COO91_00478	62	1	1028	1	100	100%
ava:Ava_4727	63	1	1027	1	100	100%
1123060.JONP0100009	64	1	965	1	100	100%
313606.M23134_01127	65	1	964	1	100	100%
bor:COCMIDRAFT_3942	66	1	959	1	100	100%
102232.GLO73106DRAF	67	1	955	1	100	100%
373994.Riv7116_5978	68	1	949	1	100	100%
pno:SNOG_12465	69	1	936	1	100	100%
WP_148649771.1	70	1	933	1	100	100%
1173026.Glo7428_332	71	1	924	1	100	100%
A0A0S2FDC0	72	1	914	1	100	100%
erz:ER308_03780	73	1	909	1	100	100%
brz:CFK38_03495	74	1	881	1	100	100%
bsed:DN745_15420	75	1	871	1	100	100%
1074488.AGBX0100000	76	1	864	1	100	100%
882083.SacmaDRAFT_3	77	1	859	1	100	100%
brr:C1N80_03595	78	1	859	1	100	100%
629773.AORY01000004	79	1	855	1	100	100%
blin:BLSMQ_0990	80	1	846	1	100	100%
1157637.KB892121_ge	81	1	844	1	100	100%
1229781.C272_15392	82	1	843	1	100	100%
1088721.NSU_1583	83	1	841	1	100	100%
1381751.JAJB0100002	84	1	840	1	100	100%
37523999	85	1	838	1	100	100%
1090319.KE386571_ge	86	1	837	1	100	100%
321955.AAGP01000016	87	1	835	1	100	100%
1549858.MC45_05990	88	1	830	1	100	100%
skr:BRX40_16715	89	1	829	1	100	100%
1379701.JPJC0100005	90	1	828	1	100	100%
nov:TQ38_013595	91	1	827	1	100	100%
sphf:DM480_12955	92	1	827	1	100	100%
1007104.SUS17_468	93	1	826	1	100	100%
1090318.ATTI0100000	94	1	826	1	100	100%
1090320.KB900605_ge	95	1	826	1	100	100%
1219049.SP5_016_000	96	1	826	1	100	100%
148555389	97	1	826	1	100	100%
1550073.JROH0100001	98	1	826	1	100	100%
spau:DRN02_010135	99	1	826	1	100	100%
splk:AV944_16675	100	1	826	1	100	100%
1081640.AGFU0100000	101	1	825	1	100	100%
1144305.PMI02_02110	102	1	825	1	100	100%
snj:A7E77_12435	103	1	824	1	100	100%
sphi:TS85_10825	104	1	824	1	100	100%
334142936	105	1	823	1	100	100%
sphc:CVN68_08625	106	1	823	1	100	100%
1096930.L284_06235	107	1	822	1	100	100%
1449076.JOOE0100000	108	1	822	1	100	100%
257070140	109	1	821	1	100	100%
rdi:CMV14_00200	110	1	821	1	100	100%
194867.ALBQ01000003	111	1	820	1	100	100%
1121124.JNIX0100001	112	1	819	1	100	100%
158500.BV97_03457	113	1	819	1	100	100%
nre:BES08_09340	114	1	819	1	100	100%
555793.WSK_0631	115	1	818	1	100	100%
65393.PCC7424_3179	116	1	818	1	100	100%
alb:AEB_P1728	117	1	818	1	100	100%
221288.JH992901_gen	118	1	817	1	100	100%
brl:BZG35_04575	119	1	817	1	100	100%
bsm:BSM4216_1679	120	1	815	1	100	100%
splm:BXU08_07955	121	1	815	1	100	100%
428205634	122	1	813	1	100	100%
665952.HMPREF1015_0	123	1	813	1	100	100%
1203568.HMPREF1484_	124	1	812	1	100	100%
302384306	125	1	812	1	100	100%
715226.ABI_12500	126	1	812	1	100	100%
dva:DAD186_20590	127	1	809	1	100	100%
dwu:DVJ83_14390	128	1	809	1	100	100%
434392635	129	1	808	1	100	100%
927677.ALVU02000001	130	1	805	1	100	100%
1173024.KI912154_ge	131	1	802	1	100	100%
395493.BegalDRAFT_3	132	1	799	1	100	100%
1122238.AULR0100001	133	1	798	1	100	100%
1173023.KE650771_ge	134	1	798	1	100	100%
1173024.KI912148_ge	135	1	798	1	100	100%
1174528.JH992898_ge	136	1	798	1	100	100%
306281.AJLK01000073	137	1	798	1	100	100%
1122237.AUGQ0100000	138	1	797	1	100	100%
