id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
323261.Noc_1238	0	1	993	1	100	100%
1449080.JQMV0100000	1	2	879	1	100	100%
262724.TT_C1404	1	2	775	0	80.90%	88%
1160718.SU9_32273	2	3	832	1	100	100%
195250.CM001776_gen	2	3	569	0	60.81%	68%
428779607	2	3	568	0	83.27%	68%
1469245.JFBG0100001	3	113	128	1	100	100%
WP_105293905.1	3	113	756	0	43.12%	590%
WP_105314589.1	3	113	751	0	67.11%	586%
194335216	3	113	750	0	42.67%	585%
21673696	3	113	750	0	80.00%	585%
331678.Cphamn1_1835	3	113	750	0	80.93%	585%
340177.Cag_1583	3	113	750	0	84.40%	585%
clz:BIU88_06775	3	113	749	0	94.93%	585%
387631.Asulf_02109	3	113	749	0	56.61%	585%
WP_116782677.1	3	113	749	0	51.27%	585%
WP_066065327.1	3	113	748	0	60.83%	584%
Q3IBL9	3	113	748	0	54.95%	584%
11498270	3	113	747	0	62.12%	583%
dax:FDQ92_03275	3	113	745	0	60.00%	582%
302342419	3	113	745	0	50.74%	582%
260892958	3	113	744	0	63.71%	581%
693661.Arcve_0425	3	113	743	0	65.55%	580%
374994387	3	113	741	0	65.45%	578%
913865.DOT_4939	3	113	741	0	80.43%	578%
768710.DesyoDRAFT_1	3	113	740	0	89.19%	578%
646529.Desaci_2316	3	113	740	0	78.38%	578%
WP_075365961.1	3	113	740	0	83.38%	578%
572546.Arcpr_1259	3	113	740	0	62.30%	578%
116748492	3	113	739	0	60.76%	577%
dax:FDQ92_09425	3	113	739	0	73.61%	577%
1487923.DP73_08305	3	113	738	0	90.24%	576%
768704.Desmer_1683	3	113	738	0	90.65%	576%
WP_106800502.1	3	113	738	0	91.87%	576%
116748726	3	113	738	0	74.12%	576%
485916.Dtox_3575	3	113	736	0	66.85%	575%
169832026	3	113	735	0	66.12%	574%
I1X4S6	3	113	498	0	71.69%	389%
A0A2A5W9E2	3	113	422	0	80.81%	329%
A0A2E8CJ15	3	113	422	0	94.31%	329%
A0A349V0V8	3	113	422	0	99.76%	329%
A0A3B9R193	3	113	422	0	98.82%	329%
A0A3D2VAP5	3	113	422	0	96.45%	329%
A0A3D3DQT6	3	113	422	0	99.76%	329%
A0A520M5U7	3	113	422	0	97.63%	329%
A0A520MQ62	3	113	421	0	94.77%	328%
A0A370DTE4	3	113	421	0	80.29%	328%
A0A370DWH6	3	113	421	0	96.20%	328%
A0A497TGJ0	3	113	421	0	94.06%	328%
A0A497TJZ0	3	113	421	0	93.59%	328%
A0A3M0YAX8	3	113	420	0	81.19%	328%
A0A3M0YEZ9	3	113	420	0	92.14%	328%
WP_134081970.1	3	113	419	0	80.91%	327%
A0A3D4RXH3	3	113	418	0	80.62%	326%
A0A2E8Y8G1	3	113	417	0	85.37%	325%
868595.Desca_2376	3	113	416	0	77.16%	325%
1121428.DESHY_20175	3	113	415	0	86.51%	324%
696281.Desru_3375	3	113	415	0	87.95%	324%
dfg:B0537_03660	3	113	415	0	91.08%	324%
349161.Dred_0638	3	113	414	0	87.68%	323%
E0D1Y8	3	113	363	0	91.74%	283%
B8PT86	3	113	359	0	84.12%	280%
A0A076KVQ3	3	113	355	0	93.24%	277%
A0A076L1A1	3	113	355	0	92.96%	277%
B8PT95	3	113	355	0	90.70%	277%
A0A076KVR5	3	113	354	0	90.11%	276%
A0A076L461	3	113	354	0	93.22%	276%
1121423.JONT0100000	3	113	339	0	53.55%	264%
WP_135553245.1	3	113	334	0	81.74%	260%
WP_135553267.1	3	113	313	0	90.42%	244%
Q8VRQ5	3	113	225	0	92.89%	175%
E0D4D8	3	113	149	0	91.28%	116%
M1VEP6	3	113	149	0	91.95%	116%
M1VEX5	3	113	149	0	91.28%	116%
1121468.AUBR0100004	3	113	146	0	71.39%	114%
760568.Desku_1073	3	113	146	0	91.10%	114%
1123376.AUIU0100001	3	113	142	0	54.84%	110%
WP_012546160.1	3	113	142	0	91.55%	110%
WP_028842327.1	3	113	142	0	90.14%	110%
WP_059175792.1	3	113	142	0	87.32%	110%
WP_068860247.1	3	113	142	0	93.66%	110%
194335220	3	113	140	0	70.71%	109%
21673693	3	113	140	0	97.14%	109%
331678.Cphamn1_1838	3	113	140	0	96.43%	109%
340177.Cag_1586	3	113	140	0	95.00%	109%
clz:BIU88_06790	3	113	140	0	97.14%	109%
395493.BegalDRAFT_1	3	113	130	0	53.47%	101%
blep:AL038_07480	3	113	130	0	93.85%	101%
400682.PAC_15704301	3	113	128	0	92.19%	100%
bbag:E1O_03070	3	113	111	0	73.87%	86%
WP_105480386.1	3	113	111	0	86.49%	86%
WP_106827560.1	3	113	111	0	92.79%	86%
shd:SUTH_01439	3	113	111	0	71.17%	86%
WP_009207527.1	3	113	110	0	83.64%	85%
WP_124948108.1	3	113	110	0	94.55%	85%
864051.BurJ1DRAFT_3	3	113	110	0	80.91%	85%
WP_131111452.1	3	113	110	0	83.64%	85%
WP_078483315.1	3	113	110	0	75.45%	85%
WP_114278795.1	3	113	110	0	81.82%	85%
WP_149684123.1	3	113	110	0	82.73%	85%
WP_124704703.1	3	113	110	0	78.18%	85%
WP_127478866.1	3	113	108	0	76.85%	84%
1121428.DESHY_30075	3	113	105	0	84.76%	82%
349161.Dred_3197	3	113	105	0	94.29%	82%
696281.Desru_3734	3	113	105	0	96.19%	82%
696369.KI912183_gen	3	113	105	0	94.29%	82%
dfg:B0537_15895	3	113	105	0	96.19%	82%
1121430.JMLG0100000	3	113	105	0	84.42%	82%
1121468.AUBR0100002	3	113	105	0	92.38%	82%
760568.Desku_3485	3	113	105	0	99.05%	82%
blep:AL038_07470	3	113	101	0	81.19%	78%
WP_103921918.1	3	113	101	0	61.39%	78%
543964511	3	113	100	0	52.00%	78%
I1X4S3	3	113	100	0	54.00%	78%
121998734	3	113	99	0	51.52%	77%
1123393.KB891316_ge	3	113	99	0	64.65%	77%
74318499	3	113	99	0	92.93%	77%
slim:SCL_1270	3	113	99	0	63.64%	77%
1123392.AQWL0100000	3	113	79	0	94.94%	61%
693661.Arcve_1563	4	434	780	1	100	100%
392409814	4	434	762	0	41.34%	97%
dax:FDQ92_03275	4	434	745	0	60.00%	95%
260892958	4	434	744	0	63.71%	95%
374994387	4	434	741	0	65.45%	95%
913865.DOT_4939	4	434	741	0	80.43%	95%
768710.DesyoDRAFT_1	4	434	740	0	89.19%	94%
646529.Desaci_2316	4	434	740	0	78.38%	94%
WP_075365961.1	4	434	740	0	83.38%	94%
116748492	4	434	739	0	60.76%	94%
dax:FDQ92_09425	4	434	739	0	73.61%	94%
337285658	4	434	738	0	42.68%	94%
1487923.DP73_08305	4	434	738	0	90.24%	94%
768704.Desmer_1683	4	434	738	0	90.65%	94%
WP_106800502.1	4	434	738	0	91.87%	94%
116748726	4	434	738	0	74.12%	94%
1123371.ATXH0100002	4	434	737	0	93.49%	94%
485916.Dtox_3575	4	434	736	0	66.85%	94%
169832026	4	434	735	0	66.12%	94%
332296414	4	434	715	0	52.03%	91%
taci:TDSAC_1568	4	434	715	0	96.50%	91%
392412156	4	434	712	0	60.25%	91%
328952460	4	434	712	0	56.88%	91%
WP_105502652.1	4	434	712	0	56.46%	91%
933262.AXAM01000009	4	434	659	0	69.65%	84%
933262.AXAM01000009	4	434	659	0	69.65%	84%
1121441.AUCX0100001	4	434	535	0	74.76%	68%
1121447.JONL0100000	4	434	535	0	90.47%	68%
1121451.DESAM_20518	4	434	535	0	92.34%	68%
526222.Desal_0185	4	434	535	0	92.34%	68%
1121441.AUCX0100001	4	434	535	0	80.62%	68%
1121447.JONL0100000	4	434	535	0	90.47%	68%
1121451.DESAM_20518	4	434	535	0	92.34%	68%
526222.Desal_0185	4	434	535	0	92.34%	68%
1121441.AUCX0100001	4	434	535	0	74.76%	68%
1121447.JONL0100000	4	434	535	0	90.47%	68%
1121451.DESAM_20518	4	434	535	0	92.34%	68%
526222.Desal_0185	4	434	535	0	92.34%	68%
1121441.AUCX0100001	4	434	535	0	80.62%	68%
1121447.JONL0100000	4	434	535	0	90.47%	68%
1121451.DESAM_20518	4	434	535	0	92.34%	68%
526222.Desal_0185	4	434	535	0	92.34%	68%
83590441	4	434	472	0	80.51%	60%
51244958	4	434	445	0	50.34%	57%
A0A3B9SMY8	4	434	436	0	82.11%	55%
Q3IBM0	4	434	431	0	54.29%	55%
116748491	4	434	422	0	53.08%	54%
dax:FDQ92_09420	4	434	422	0	75.36%	54%
387631.Asulf_02110	4	434	422	0	65.40%	54%
392409813	4	434	421	0	53.92%	53%
WP_105502653.1	4	434	421	0	52.02%	53%
116748727	4	434	420	0	58.33%	53%
dax:FDQ92_03280	4	434	420	0	75.95%	53%
332296415	4	434	420	0	53.81%	53%
taci:TDSAC_1569	4	434	420	0	95.24%	53%
572546.Arcpr_1260	4	434	420	0	55.95%	53%
297569440	4	434	419	0	68.97%	53%
488777282	4	434	418	0	73.44%	53%
488777282	4	434	418	0	73.44%	53%
328952461	4	434	418	0	61.48%	53%
deo:CAY53_10875	4	434	417	0	70.74%	53%
320352899	4	434	417	0	71.46%	53%
WP_066065330.1	4	434	417	0	60.91%	53%
868595.Desca_2376	4	434	416	0	77.16%	53%
260892959	4	434	416	0	60.10%	53%
1121413.JMKT0100000	4	434	415	0	56.26%	53%
555779.Dthio_PD1621	4	434	415	0	86.27%	53%
1121413.JMKT0100000	4	434	415	0	56.14%	53%
555779.Dthio_PD1621	4	434	415	0	86.27%	53%
1121428.DESHY_20175	4	434	415	0	86.51%	53%
696281.Desru_3375	4	434	415	0	87.95%	53%
dfg:B0537_03660	4	434	415	0	91.08%	53%
646529.Desaci_2306	4	434	415	0	60.24%	53%
646529.Desaci_2315	4	434	415	0	99.76%	53%
913865.DOT_4940	4	434	415	0	85.54%	53%
349161.Dred_0638	4	434	414	0	87.68%	53%
256830962	4	434	413	0	72.40%	52%
doa:AXF15_05940	4	434	413	0	82.57%	52%
WP_027182977.1	4	434	413	0	74.82%	52%
194335217	4	434	413	0	61.02%	52%
21673695	4	434	413	0	79.90%	52%
clz:BIU88_06780	4	434	413	0	92.98%	52%
161156.JQKW01000008	4	434	413	0	66.53%	52%
256830962	4	434	413	0	72.40%	52%
doa:AXF15_05940	4	434	413	0	82.57%	52%
WP_027182977.1	4	434	413	0	74.82%	52%
194335217	4	434	413	0	61.02%	52%
21673695	4	434	413	0	79.90%	52%
clz:BIU88_06780	4	434	413	0	92.98%	52%
161156.JQKW01000008	4	434	413	0	76.51%	52%
cthi:THC_1313	4	434	413	0	69.73%	52%
768710.DesyoDRAFT_1	4	434	413	0	82.08%	52%
WP_106800501.1	4	434	413	0	91.28%	52%
302342418	4	434	412	0	49.03%	52%
340177.Cag_1584	4	434	412	0	82.28%	52%
WP_027369967.1	4	434	412	0	60.92%	52%
1123373.ATXI0100000	4	434	412	0	86.41%	52%
289377.HL41_08925	4	434	412	0	95.63%	52%
337287746	4	434	412	0	89.32%	52%
340177.Cag_1584	4	434	412	0	82.28%	52%
WP_027369967.1	4	434	412	0	60.92%	52%
1123373.ATXI0100000	4	434	412	0	86.41%	52%
289377.HL41_08925	4	434	412	0	95.63%	52%
337287746	4	434	412	0	89.32%	52%
1121406.JAEX0100000	4	434	411	0	70.56%	52%
WP_015752392.1	4	434	411	0	70.80%	52%
1121439.dsat_1158	4	434	411	0	63.50%	52%
941449.dsx2_1787	4	434	411	0	82.24%	52%
641491.DND132_2645	4	434	411	0	74.70%	52%
dej:AWY79_04205	4	434	411	0	93.92%	52%
643562.Daes_3032	4	434	411	0	89.29%	52%
pprf:DPRO_2422	4	434	411	0	87.35%	52%
WP_015415087.1	4	434	411	0	89.54%	52%
1121406.JAEX0100000	4	434	411	0	70.56%	52%
WP_015752392.1	4	434	411	0	70.80%	52%
1121439.dsat_1158	4	434	411	0	63.50%	52%
941449.dsx2_1787	4	434	411	0	82.24%	52%
641491.DND132_2645	4	434	411	0	74.70%	52%
dej:AWY79_04205	4	434	411	0	93.92%	52%
643562.Daes_3032	4	434	411	0	89.29%	52%
pprf:DPRO_2422	4	434	411	0	87.35%	52%
WP_015415087.1	4	434	411	0	89.54%	52%
A0A432UG67	4	434	410	0	85.12%	52%
WP_084271037.1	4	434	410	0	91.46%	52%
1487923.DP73_08300	4	434	410	0	83.41%	52%
768704.Desmer_1682	4	434	410	0	99.27%	52%
374994386	4	434	410	0	80.49%	52%
693661.Arcve_0424	4	434	410	0	70.73%	52%
A0A2U3LEQ8	4	434	408	0	90.93%	52%
1121440.AUMA0100000	4	434	406	0	76.35%	52%
1121440.AUMA0100000	4	434	406	0	76.35%	52%
11498271	4	434	404	0	60.15%	51%
WP_083186542.1	4	434	400	0	80.25%	51%
1121438.JNJA0100001	4	434	399	0	60.29%	51%
1304872.JAGC0100000	4	434	399	0	91.48%	51%
596151.DesfrDRAFT_2	4	434	399	0	91.73%	51%
596152.DesU5LDRAFT_	4	434	399	0	93.98%	51%
644968.DFW101_1873	4	434	399	0	93.23%	51%
WP_012750115.1	4	434	399	0	84.96%	51%
WP_129354910.1	4	434	399	0	98.75%	51%
1121438.JNJA0100001	4	434	399	0	60.29%	51%
1304872.JAGC0100000	4	434	399	0	91.48%	51%
596151.DesfrDRAFT_2	4	434	399	0	91.73%	51%
596152.DesU5LDRAFT_	4	434	399	0	93.98%	51%
644968.DFW101_1873	4	434	399	0	93.23%	51%
WP_012750115.1	4	434	399	0	84.96%	51%
WP_129354910.1	4	434	399	0	98.75%	51%
337287744	4	434	397	0	79.85%	50%
1121468.AUBR0100002	4	434	395	0	88.75%	50%
224367564	4	434	391	0	70.08%	50%
224367564	4	434	391	0	70.08%	50%
1121456.ATVA0100000	4	434	364	0	62.36%	46%
1121456.ATVA0100000	4	434	364	0	62.36%	46%
1121423.JONT0100000	4	434	339	0	53.61%	43%
1121472.AQWN0100000	4	434	334	0	85.71%	42%
1121472.AQWN0100000	4	434	334	0	44.34%	42%
WP_135553245.1	4	434	334	0	81.74%	42%
1121472.AQWN0100000	4	434	334	0	85.71%	42%
1121472.AQWN0100000	4	434	334	0	61.24%	42%
1121451.DESAM_20517	4	434	331	0	84.89%	42%
526222.Desal_0186	4	434	331	0	82.78%	42%
1121451.DESAM_20517	4	434	331	0	84.89%	42%
526222.Desal_0186	4	434	331	0	82.78%	42%
Q841I7	4	434	330	0	88.18%	42%
Q841I7	4	434	330	0	88.18%	42%
WP_135553267.1	4	434	313	0	90.42%	40%
Q75VF9	4	434	275	0	95.27%	35%
Q841V0	4	434	236	0	90.68%	30%
Q841V0	4	434	236	0	90.68%	30%
Q841V0	4	434	236	0	90.68%	30%
Q841V0	4	434	236	0	90.68%	30%
Q8VRQ5	4	434	225	0	92.89%	28%
1307759.JOMJ0100000	4	434	169	0	71.29%	21%
1307759.JOMJ0100000	4	434	169	0	71.29%	21%
1121439.dsat_1156	4	434	168	0	84.52%	21%
dfl:DFE_2055	4	434	168	0	83.93%	21%
WP_144303625.1	4	434	168	0	83.33%	21%
1121439.dsat_1156	4	434	168	0	84.52%	21%
dfl:DFE_2055	4	434	168	0	83.93%	21%
WP_144303625.1	4	434	168	0	83.33%	21%
1121413.JMKT0100000	4	434	167	0	81.44%	21%
883.DvMF_2892	4	434	167	0	82.04%	21%
WP_007527152.1	4	434	167	0	98.20%	21%
WP_010938146.1	4	434	167	0	91.62%	21%
WP_035068573.1	4	434	167	0	97.60%	21%
