id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
59538.XP_005965378.	0	176	2761	1	100	100%
16125954	0	176	789	0	84.41%	28%
A0A2E6QMI1	0	176	785	0	60.38%	28%
A0A4P1K095	0	176	763	0	67.10%	27%
WP_085340551.1	0	176	760	0	62.76%	27%
A0A257HR50	0	176	759	0	98.29%	27%
A0A2E4QRY7	0	176	757	0	60.63%	27%
197105153	0	176	756	0	72.75%	27%
WP_108984001.1	0	176	756	0	91.67%	27%
1121022.ABENE_02270	0	176	752	0	66.22%	27%
551275.KB899544_gen	0	176	751	0	71.50%	27%
WP_090642895.1	0	176	750	0	91.47%	27%
1382303.JPOM0100000	0	176	750	0	69.73%	27%
1282362.AEAC466_084	0	176	749	0	91.32%	27%
WP_140985248.1	0	176	749	0	79.71%	27%
WP_125157886.1	0	176	749	0	91.32%	27%
254294272	0	176	749	0	88.38%	27%
1282361.ABAC402_091	0	176	748	0	82.62%	27%
715226.ABI_33920	0	176	748	0	91.18%	27%
A0A258FRT5	0	176	747	0	70.41%	27%
A0A2W5WQ61	0	176	746	0	92.63%	27%
WP_056102397.1	0	176	745	0	78.93%	26%
WP_107872247.1	0	176	744	0	84.68%	26%
1449049.JONW0100000	0	176	744	0	87.90%	26%
WP_123286896.1	0	176	744	0	82.80%	26%
WP_119302350.1	0	176	744	0	61.02%	26%
WP_144252928.1	0	176	744	0	64.52%	26%
WP_023462858.1	0	176	743	0	90.04%	26%
WP_056436788.1	0	176	743	0	96.10%	26%
588932.JHOF01000011	0	176	743	0	97.85%	26%
A0A519IX72	0	176	743	0	90.71%	26%
bdm:EQG53_14445	0	176	743	0	99.60%	26%
WP_105564037.1	0	176	743	0	93.94%	26%
WP_135062941.1	0	176	743	0	89.50%	26%
A0A523G140	0	176	743	0	60.16%	26%
WP_119285342.1	0	176	743	0	94.08%	26%
315500001	0	176	742	0	95.28%	26%
A0A2W5R3H6	0	176	742	0	81.00%	26%
A0A525JPK8	0	176	742	0	81.40%	26%
366602.Caul_2551	0	176	742	0	94.61%	26%
509190.Cseg_2266	0	176	742	0	93.40%	26%
A0A2G4KFH2	0	176	742	0	91.37%	26%
WP_066681344.1	0	176	742	0	93.40%	26%
chq:AQ619_08325	0	176	742	0	86.79%	26%
WP_110121258.1	0	176	742	0	88.01%	26%
1161401.ASJA0100001	0	176	741	0	62.89%	26%
A0A525J557	0	176	741	0	80.97%	26%
WP_004615139.1	0	176	741	0	98.52%	26%
WP_056051977.1	0	176	741	0	92.04%	26%
cfh:C1707_17460	0	176	741	0	97.57%	26%
WP_091738743.1	0	176	741	0	72.74%	26%
A0A1F8I685	0	176	741	0	85.70%	26%
WP_092307680.1	0	176	741	0	96.76%	26%
WP_141626973.1	0	176	741	0	86.10%	26%
WP_007666473.1	0	176	740	0	94.19%	26%
69395.JQLZ01000008_	0	176	740	0	91.62%	26%
WP_108505344.1	0	176	740	0	91.35%	26%
A0A0Q7T812	0	176	740	0	90.41%	26%
A0A521NJ15	0	176	740	0	90.95%	26%
WP_055832457.1	0	176	740	0	90.95%	26%
WP_056449974.1	0	176	740	0	87.16%	26%
A0A539D546	0	176	740	0	77.97%	26%
A0A1G2W8B7	0	176	739	0	82.00%	26%
WP_068873893.1	0	176	739	0	97.83%	26%
WP_082531892.1	0	176	739	0	80.92%	26%
A0A399RBW1	0	176	739	0	60.49%	26%
WP_119405824.1	0	176	739	0	99.73%	26%
WP_084396767.1	0	176	739	0	88.77%	26%
WP_021696000.1	0	176	739	0	80.11%	26%
A0A519HI08	0	176	739	0	90.12%	26%
A0A521PUM8	0	176	738	0	90.38%	26%
1121124.JNIX0100000	0	176	738	0	83.33%	26%
302383322	0	176	738	0	91.60%	26%
A0A258HIY9	0	176	738	0	92.41%	26%
brl:BZG35_08805	0	176	738	0	91.19%	26%
WP_054110406.1	0	176	738	0	96.61%	26%
1229204.AMYY0100004	0	176	738	0	84.15%	26%
391600.ABRU01000028	0	176	738	0	93.50%	26%
A0A1F8IJE2	0	176	738	0	92.95%	26%
A0A2W4V7W8	0	176	738	0	93.77%	26%
A0A2W6XP00	0	176	738	0	94.85%	26%
A0A6L5PI48	0	176	738	0	99.73%	26%
brd:JL11_13650	0	176	738	0	94.04%	26%
bvc:CEP68_14465	0	176	738	0	99.19%	26%
WP_152950612.1	0	176	738	0	93.90%	26%
A0A2W4TES2	0	176	738	0	81.98%	26%
