id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
880072.Desac_0822	0	1	1503	1	100	100%
1125863.JAFN0100000	1	1	1500	1	100	100%
767817.Desgi_2036	2	1	1495	1	100	100%
1121396.KB893100_ge	3	1	1486	1	100	100%
1121423.JONT0100000	4	1	1483	1	100	100%
696281.Desru_2698	5	1	1483	1	100	100%
1265505.ATUG0100000	6	1	1482	1	100	100%
696369.KI912183_gen	7	1	1482	1	100	100%
1121428.DESHY_11041	8	1	1481	1	100	100%
868595.Desca_0816	9	1	1480	1	100	100%
1121430.JMLG0100000	10	1	1479	1	100	100%
644282.Deba_2226	11	1	1477	1	100	100%
706587.Desti_5031	12	1	1475	1	100	100%
1121423.JONT0100000	13	1	1474	1	100	100%
767817.Desgi_2040	14	1	1473	1	100	100%
1449126.JQKL0100001	15	1	1467	1	100	100%
1265505.ATUG0100000	16	1	1417	1	100	100%
1232437.KL662031_ge	17	1	1416	1	100	100%
chj:NCTC10426_01699	18	1	1357	1	100	100%
WP_046018874.1	19	1	1254	1	100	100%
WP_063338401.1	20	1	1254	1	100	100%
WP_009832233.1	21	1	1251	1	100	100%
loki:Lokiarch_01240	22	1	1161	1	100	100%
398512.JQKC01000022	23	1	1141	1	100	100%
880073.Calab_3046	24	1	1122	1	100	100%
432329022	25	1	1105	1	100	100%
903818.KI912269_gen	26	1	1080	1	100	100%
1499967.BAYZ0100017	27	1	1079	1	100	100%
WP_075764793.1	28	1	1078	1	100	100%
WP_138593372.1	29	1	1078	1	100	100%
439235.Dalk_5090	30	1	1076	1	100	100%
909663.KI867150_gen	31	1	1072	1	100	100%
264732.Moth_1453	32	1	1067	1	100	100%
207954.MED92_15403	33	1	1047	1	100	100%
1041607.K0L006	34	1	1045	1	100	100%
1125863.JAFN0100000	35	1	1044	1	100	100%
767817.Desgi_1974	36	1	1043	1	100	100%
767817.Desgi_3841	37	1	1043	1	100	100%
880072.Desac_0836	38	1	1042	1	100	100%
WP_063333037.1	39	1	1042	1	100	100%
706587.Desti_1915	40	1	1041	1	100	100%
767817.Desgi_0481	41	1	1040	1	100	100%
56780.SYN_00626	42	1	1039	1	100	100%
767817.Desgi_1980	43	1	1039	1	100	100%
491952.Mar181_2235	44	1	1038	1	100	100%
WP_113873918.1	45	1	1034	1	100	100%
767817.Desgi_1112	46	1	1033	1	100	100%
1121918.ARWE0100000	47	1	1031	1	100	100%
316067.Geob_0231	48	1	1031	1	100	100%
dto:TOL2_C24180	49	1	1030	1	100	100%
589865.DaAHT2_2650	50	1	1029	1	100	100%
717774.Marme_2914	51	1	1029	1	100	100%
880072.Desac_1103	52	1	1029	1	100	100%
767817.Desgi_1755	53	1	1029	1	100	100%
WP_147174588.1	54	1	1027	1	100	100%
474933919	55	1	1026	1	100	100%
555779.Dthio_PD0916	56	1	1026	1	100	100%
dto:TOL2_C41400	57	1	1025	1	100	100%
1232437.KL662014_ge	58	1	1025	1	100	100%
dto:TOL2_C28830	59	1	1024	1	100	100%
marc:AR505_1479	60	1	1024	1	100	100%
1121422.AUMW0100001	61	1	1023	1	100	100%
A0A391NW97	62	1	1022	1	100	100%
WP_138944058.1	63	1	1022	1	100	100%
335543.Sfum_1977	64	1	1021	1	100	100%
439235.Dalk_4966	65	1	1021	1	100	100%
667014.Thein_2189	66	1	1021	1	100	100%
A0A5E4KH42	67	1	1021	1	100	100%
WP_138598717.1	68	1	1021	1	100	100%
767817.Desgi_2163	69	1	1021	1	100	100%
WP_096203358.1	70	1	1021	1	100	100%
1167006.UWK_01043	71	1	1020	1	100	100%
589865.DaAHT2_0822	72	1	1019	1	100	100%
316067.Geob_0215	73	1	1019	1	100	100%
WP_097297443.1	74	1	1019	1	100	100%
WP_097297594.1	75	1	1019	1	100	100%
177439.DP1010	76	1	1018	1	100	100%
767817.Desgi_1163	77	1	1018	1	100	100%
1121472.AQWN0100000	78	1	1018	1	100	100%
177437.HRM2_11850	79	1	1017	1	100	100%
vni:VIBNI_A0907	80	1	1017	1	100	100%
WP_042687686.1	81	1	1017	1	100	100%
478482328	82	1	1017	1	100	100%
WP_048091368.1	83	1	1017	1	100	100%
WP_116482601.1	84	1	1017	1	100	100%
177437.HRM2_11710	85	1	1016	1	100	100%
429009.Adeg_1885	86	1	1016	1	100	100%
1265505.ATUG0100000	87	1	1016	1	100	100%
335543.Sfum_3133	88	1	1015	1	100	100%
WP_115895868.1	89	1	1015	1	100	100%
1304885.AUEY0100010	90	1	1015	1	100	100%
269799.Gmet_2084	91	1	1014	1	100	100%
gpi:GPICK_09410	92	1	1014	1	100	100%
mhor:MSHOH_1797	93	1	1014	1	100	100%
mmac:MSMAC_2579	94	1	1014	1	100	100%
335543.Sfum_2149	95	1	1013	1	100	100%
477974.Daud_0092	96	1	1013	1	100	100%
868595.Desca_0130	97	1	1013	1	100	100%
439235.Dalk_0247	98	1	1012	1	100	100%
644282.Deba_2132	99	1	1012	1	100	100%
404380.Gbem_1447	100	1	1012	1	100	100%
443144.GM21_2807	101	1	1012	1	100	100%
dto:TOL2_C28760	102	1	1011	1	100	100%
1232410.KI421421_ge	103	1	1011	1	100	100%
1265505.ATUG0100000	104	1	1011	1	100	100%
768706.Desor_2813	105	1	1010	1	100	100%
WP_067206737.1	106	1	1010	1	100	100%
1487923.DP73_11560	107	1	1010	1	100	100%
349161.Dred_0137	108	1	1010	1	100	100%
349161.Dred_0143	109	1	1010	1	100	100%
646529.Desaci_2630	110	1	1010	1	100	100%
768704.Desmer_2222	111	1	1010	1	100	100%
768710.DesyoDRAFT_2	112	1	1010	1	100	100%
913865.DOT_5936	113	1	1010	1	100	100%
dew:DGWBC_1418	114	1	1010	1	100	100%
335543.Sfum_1804	115	1	1009	1	100	100%
697281.Mahau_0895	116	1	1009	1	100	100%
706587.Desti_4260	117	1	1009	1	100	100%
dfg:B0537_01520	118	1	1009	1	100	100%
WP_133563900.1	119	1	1009	1	100	100%
1121422.AUMW0100003	120	1	1009	1	100	100%
696281.Desru_0205	121	1	1009	1	100	100%
696281.Desru_0212	122	1	1009	1	100	100%
552811.Dehly_0730	123	1	1008	1	100	100%
767817.Desgi_2046	124	1	1008	1	100	100%
1121422.AUMW0100003	125	1	1008	1	100	100%
696369.KI912183_gen	126	1	1008	1	100	100%
868595.Desca_0136	127	1	1008	1	100	100%
1121405.dsmv_2897	128	1	1007	1	100	100%
1121428.DESHY_11041	129	1	1007	1	100	100%
349161.Dred_1328	130	1	1007	1	100	100%
511059333	131	1	1007	1	100	100%
696281.Desru_2697	132	1	1007	1	100	100%
868595.Desca_0817	133	1	1007	1	100	100%
dfg:B0537_06290	134	1	1007	1	100	100%
1298865.H978DRAFT_0	135	1	1006	1	100	100%
335543.Sfum_2971	136	1	1006	1	100	100%
WP_102495957.1	137	1	1006	1	100	100%
1123371.ATXH0100000	138	1	1006	1	100	100%
667014.Thein_2069	139	1	1005	1	100	100%
485916.Dtox_1277	140	1	1005	1	100	100%
WP_067098149.1	141	1	1004	1	100	100%
WP_103751399.1	142	1	1004	1	100	100%
