id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
A0A3M4DFR4	0	8	941	1	100	100%
WP_094185911.1	0	8	547	0	99.09%	58%
WP_085708035.1	0	8	526	0	97.91%	55%
WP_085056784.1	0	8	520	0	98.65%	55%
A0A3M6HLV8	0	8	367	0	91.83%	39%
WP_032621061.1	0	8	367	0	90.19%	39%
WP_057423918.1	0	8	364	0	92.03%	38%
WP_122596052.1	0	8	98	0	96.94%	10%
1267600.JFGT0100000	1	1	858	1	100	100%
A0A0P9UIR3	2	110	856	1	100	100%
A0A0P9PEV1	2	110	430	0	92.79%	50%
A0A3M3WX67	2	110	430	0	93.26%	50%
A0A3M4UPR7	2	110	430	0	93.95%	50%
A0A3M5BZ74	2	110	430	0	93.95%	50%
A0A3M5HB65	2	110	430	0	93.95%	50%
A0A3M5PNS4	2	110	430	0	93.95%	50%
A0A3M5ZV62	2	110	430	0	93.26%	50%
A0A0P9XXU6	2	110	403	0	93.05%	47%
A0A3M5BJQ0	2	110	403	0	92.80%	47%
WP_024656538.1	2	110	393	0	90.08%	45%
1357279.N018_02425	2	110	389	0	91.52%	45%
205918.Psyr_4674	2	110	389	0	93.06%	45%
264730.PSPPH_4708	2	110	389	0	92.80%	45%
629265.PMA4326_0009	2	110	389	0	91.26%	45%
F3F145	2	110	389	0	93.57%	45%
pamg:BKM19_027145	2	110	389	0	92.80%	45%
pavl:BKM03_02850	2	110	389	0	90.23%	45%
WP_002555563.1	2	110	389	0	93.06%	45%
WP_003383362.1	2	110	389	0	90.49%	45%
WP_003393569.1	2	110	389	0	92.80%	45%
WP_003402125.1	2	110	389	0	92.29%	45%
WP_003422653.1	2	110	389	0	92.03%	45%
WP_004415714.1	2	110	389	0	91.00%	45%
WP_005735077.1	2	110	389	0	92.80%	45%
WP_005744035.1	2	110	389	0	93.32%	45%
WP_005781093.1	2	110	389	0	93.06%	45%
WP_005896506.1	2	110	389	0	90.23%	45%
WP_010428949.1	2	110	389	0	92.29%	45%
WP_016569161.1	2	110	389	0	92.03%	45%
WP_017278493.1	2	110	389	0	91.77%	45%
WP_017684676.1	2	110	389	0	90.23%	45%
WP_020304301.1	2	110	389	0	90.23%	45%
WP_020307486.1	2	110	389	0	90.23%	45%
WP_024640644.1	2	110	389	0	92.80%	45%
WP_024650705.1	2	110	389	0	92.80%	45%
WP_024662887.1	2	110	389	0	92.54%	45%
WP_024665731.1	2	110	389	0	92.54%	45%
WP_024682944.1	2	110	389	0	92.54%	45%
WP_024692083.1	2	110	389	0	92.80%	45%
WP_024697490.1	2	110	389	0	90.75%	45%
WP_024961471.1	2	110	389	0	92.54%	45%
WP_029571689.1	2	110	389	0	90.75%	45%
WP_032655810.1	2	110	389	0	92.54%	45%
WP_032698829.1	2	110	389	0	92.29%	45%
WP_044312532.1	2	110	389	0	92.29%	45%
WP_044321372.1	2	110	389	0	93.32%	45%
WP_044323770.1	2	110	389	0	92.29%	45%
WP_044343888.1	2	110	389	0	92.80%	45%
WP_044421881.1	2	110	389	0	90.75%	45%
WP_046236961.1	2	110	389	0	92.54%	45%
WP_046271171.1	2	110	389	0	92.54%	45%
WP_054070814.1	2	110	389	0	92.54%	45%
WP_054076641.1	2	110	389	0	92.80%	45%
WP_054084199.1	2	110	389	0	91.00%	45%
WP_054985657.1	2	110	389	0	91.26%	45%
WP_054989180.1	2	110	389	0	90.23%	45%
WP_054994471.1	2	110	389	0	92.03%	45%
WP_054997536.1	2	110	389	0	90.49%	45%
WP_054999107.1	2	110	389	0	91.26%	45%
WP_055007158.1	2	110	389	0	90.75%	45%
WP_055008036.1	2	110	389	0	91.00%	45%
WP_057404988.1	2	110	389	0	92.80%	45%
WP_057413062.1	2	110	389	0	92.29%	45%
