id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
297616844	0	30	665	1	100	100%
1195236.CTER_3897	0	30	661	0	40.54%	99%
394503.Ccel_3371	0	30	661	0	84.72%	99%
755731.Clo1100_3961	0	30	661	0	92.89%	99%
410668458	0	30	661	0	41.91%	99%
cthd:CDO33_18825	0	30	654	0	64.22%	98%
690850.Desaf_0585	0	30	636	0	41.98%	95%
1121439.dsat_0920	0	30	633	0	55.29%	95%
643562.Daes_2375	0	30	631	0	62.28%	94%
1121456.ATVA0100001	0	30	161	0	63.28%	24%
1121447.JONL0100000	0	30	154	0	61.17%	23%
1121451.DESAM_21329	0	30	154	0	90.26%	23%
1121447.JONL0100000	0	30	154	0	80.52%	23%
1121451.DESAM_21329	0	30	154	0	90.26%	23%
690850.Desaf_2880	0	30	153	0	80.39%	23%
1121448.DGI_1051	0	30	149	0	81.21%	22%
1121438.JNJA0100001	0	30	147	0	78.91%	22%
1304872.JAGC0100000	0	30	147	0	95.24%	22%
573370.DMR_02750	0	30	147	0	93.88%	22%
596151.DesfrDRAFT_2	0	30	147	0	97.28%	22%
596152.DesU5LDRAFT_	0	30	147	0	95.92%	22%
644968.DFW101_2237	0	30	147	0	96.60%	22%
256830115	0	30	141	0	81.56%	21%
643562.Daes_0780	0	30	141	0	79.43%	21%
dej:AWY79_07300	0	30	141	0	92.91%	21%
1121406.JAEX0100000	0	30	140	0	80.00%	21%
690850.Desaf_1865	0	30	140	0	82.86%	21%
dfl:DFE_2488	0	30	140	0	81.43%	21%
116748268	0	30	140	0	72.86%	21%
258404553	0	30	139	0	82.73%	20%
124486436	1	85	663	1	100	100%
525146.Ddes_1673	1	85	651	0	40.40%	98%
596151.DesfrDRAFT_2	1	85	650	0	50.77%	98%
255470.cbdbA842	1	85	648	0	41.36%	97%
311424.DhcVS_763	1	85	648	0	92.75%	97%
57234361	1	85	648	0	91.98%	97%
deb:DehaBAV1_0778	1	85	648	0	99.38%	97%
deg:DehalGT_0739	1	85	648	0	99.54%	97%
dmc:btf_781	1	85	648	0	99.38%	97%
dmd:dcmb_827	1	85	648	0	99.54%	97%
dmg:GY50_0773	1	85	648	0	92.75%	97%
dmx:X792_04015	1	85	648	0	93.06%	97%
dmy:X793_04180	1	85	648	0	91.98%	97%
duc:UCH007_07250	1	85	648	0	93.36%	97%
883.DvMF_1518	1	85	648	0	54.78%	97%
307352630	1	85	644	0	48.14%	97%
302670763	1	85	641	0	54.60%	96%
154149573	1	85	635	0	51.34%	95%
1232410.KI421426_ge	1	85	634	0	44.95%	95%
1232410.KI421426_ge	1	85	634	0	70.55%	95%
gur:Gura_2653	1	85	632	0	82.44%	95%
gur:Gura_2653	1	85	632	0	82.44%	95%
drs:DEHRE_08355	1	85	630	0	50.32%	95%
410660463	1	85	629	0	97.46%	94%
1280682.AUKA0100000	1	85	625	0	92.64%	94%
410661854	1	85	625	0	46.08%	94%
219853278	1	85	619	0	53.47%	93%
1280679.ATVX0100000	1	85	612	0	95.92%	92%
411471.SUBVAR_06259	1	85	594	0	55.39%	89%
1280680.AUJU0100000	1	85	378	0	78.85%	57%
1280664.AUIX0100000	1	85	361	0	94.74%	54%
1280671.AUJH0100000	1	85	361	0	97.78%	54%
1280681.AUJZ0100000	1	85	361	0	93.91%	54%
1506994.JNLQ0100000	1	85	361	0	95.84%	54%
1282887.AUJG0100000	1	85	360	0	61.44%	54%
1410661.JNKW0100001	1	85	360	0	91.39%	54%
1280696.ATVY0100007	1	85	359	0	83.01%	54%
1280676.AUJO0100000	1	85	359	0	95.82%	54%
1304872.JAGC0100000	1	85	283	0	81.53%	42%
573370.DMR_02740	1	85	282	0	90.78%	42%
596152.DesU5LDRAFT_	1	85	253	0	84.82%	38%
644968.DFW101_1625	1	85	253	0	98.81%	38%
1280663.ATVR0100001	1	85	231	0	87.40%	34%
302670765	1	85	228	0	90.79%	34%
1280679.ATVX0100000	1	85	227	0	91.63%	34%
bhu:bhn_I1398	1	85	227	0	92.07%	34%
1280666.ATVS0100001	1	85	224	0	88.48%	33%
1280668.ATVT0100000	1	85	223	0	92.83%	33%
1280682.AUKA0100000	1	85	222	0	90.09%	33%
1408306.JHXX0100000	1	85	194	0	96.39%	29%
457398.HMPREF0326_0	1	85	187	0	82.46%	28%
665942.HMPREF1022_0	1	85	187	0	99.47%	28%
563192.HMPREF0179_0	1	85	163	0	61.65%	24%
1298920.KI911353_ge	1	85	161	0	43.31%	24%
1336241.JAEB0100002	1	85	160	0	50.70%	24%
1410631.JHWZ0100000	1	85	159	0	64.15%	23%
1226325.HMPREF1548_	1	85	157	0	44.46%	23%
658086.HMPREF0994_0	1	85	157	0	91.08%	23%
