id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
7668.SPU_002328-tr	0	8	8467	1	100	100%
9940.ENSOARP0000000	0	8	1205	0	41.66%	14%
6500.NP_001191505.1	0	8	1163	0	42.91%	13%
9315.ENSMEUP0000000	0	8	1127	0	54.30%	13%
121225.PHUM176630-P	0	8	1104	0	43.48%	13%
7091.BGIBMGA002937-	0	8	1097	0	60.71%	12%
13249.RPRC003886-PA	0	8	1060	0	65.38%	12%
9315.ENSMEUP0000000	0	8	606	0	49.01%	7%
42099.EPrPV00000022305	1	1	2429	1	100	100%
653948.CCA14443	2	313	1994	1	100	100%
653948.CCA14437	2	313	1986	0	99.04%	99%
653948.CCA14435	2	313	1978	0	99.04%	99%
653948.CCA14432	2	313	1970	0	98.98%	98%
653948.CCA14438	2	313	1964	0	96.44%	98%
653948.CCA14442	2	313	1964	0	96.38%	98%
653948.CCA14445	2	313	1964	0	95.93%	98%
653948.CCA14440	2	313	1963	0	96.69%	98%
653948.CCA21240	2	313	1963	0	96.54%	98%
653948.CCA14431	2	313	1959	0	89.74%	98%
653948.CCA14447	2	313	1957	0	99.95%	98%
653948.CCA14441	2	313	1956	0	96.37%	98%
653948.CCA14429	2	313	1955	0	96.62%	98%
653948.CCA14439	2	313	1955	0	96.98%	98%
653948.CCA14448	2	313	1954	0	96.83%	97%
653948.CCA14436	2	313	1953	0	96.36%	97%
653948.CCA14453	2	313	1953	0	97.29%	97%
653948.CCA14446	2	313	1952	0	96.16%	97%
653948.CCA14434	2	313	1945	0	90.85%	97%
653948.CCA14449	2	313	1945	0	97.22%	97%
653948.CCA14433	2	313	1944	0	96.60%	97%
653948.CCA14444	2	313	1944	0	90.48%	97%
653948.CCA14455	2	313	1943	0	96.81%	97%
653948.CCA14454	2	313	1937	0	97.21%	97%
653948.CCA14430	2	313	1936	0	90.65%	97%
653948.CCA14451	2	313	1935	0	91.01%	97%
44056.XP_009040631.	2	313	1118	0	42.31%	56%
2880.D7G0D3	2	313	1109	0	54.10%	55%
2903.EOD33817	2	313	1062	0	43.22%	53%
2903.EOD10053	2	313	1035	0	80.58%	51%
272952.HpaP813786	2	313	1018	0	57.17%	51%
325452.fgenesh_scip	2	313	1018	0	78.49%	51%
4787.PITG_04010T0	2	313	1017	0	80.53%	51%
4792.ETI55576	2	313	1016	0	96.16%	50%
164328.Phyra79353	2	313	1016	0	90.16%	50%
36331.EPrPI00000021	2	313	1016	0	72.34%	50%
65071.PYU1_T012984	2	313	1016	0	91.24%	50%
115417.EPrPW0000001	2	313	1015	0	93.99%	50%
112098.XP_008615243	2	313	1014	0	50.99%	50%
42099.EPrPV00000019	2	313	1014	0	80.77%	50%
157072.XP_008862957	2	313	1002	0	69.86%	50%
227086.JGI_V11_5147	2	313	984	0	48.07%	49%
67593.Physo112102	2	313	918	0	90.85%	46%
227086.JGI_V11_3634	2	313	902	0	86.03%	45%
2850.Phatr19901	2	313	900	0	61.67%	45%
