id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
A0A0B0EPS0	0	250	821	1	100	100%
G9ITI8	0	250	810	0	60.86%	98%
A0A136MFN2	0	250	809	0	87.14%	98%
G9ITI9	0	250	806	0	97.02%	98%
A0A1E3XE43	0	250	804	0	84.20%	97%
G9ITI7	0	250	773	0	87.97%	94%
A0A0M2UW49	0	250	768	0	95.05%	93%
G9ITI6	0	250	636	0	99.06%	77%
A0A0F6QD87	0	250	444	0	82.43%	54%
A0A0F6QD98	0	250	444	0	99.32%	54%
A0A0F6QDA6	0	250	444	0	99.32%	54%
A0A0F6QEC8	0	250	444	0	99.32%	54%
A0A0F6QEE7	0	250	444	0	99.32%	54%
A0A0F6QEF1	0	250	444	0	99.55%	54%
A0A0F6QET4	0	250	444	0	98.87%	54%
A0A0F6QEU1	0	250	444	0	99.55%	54%
A0A0F6QEU8	0	250	444	0	99.32%	54%
A0A0F6QEV4	0	250	444	0	99.32%	54%
A0A0F6QG39	0	250	444	0	99.32%	54%
A0A0F6QG56	0	250	444	0	99.32%	54%
A0A0F6T277	0	250	444	0	99.32%	54%
A0A0F6T2V5	0	250	444	0	99.32%	54%
A0A0P0BUJ0	0	250	444	0	88.51%	54%
A0A0P0BVA0	0	250	444	0	99.77%	54%
A0A0P0CAQ9	0	250	444	0	93.69%	54%
A0A0P0CNE8	0	250	444	0	99.55%	54%
A0A0F6QD90	0	250	444	0	92.57%	54%
A0A0F6QED6	0	250	444	0	93.02%	54%
A0A0F6QET8	0	250	444	0	93.24%	54%
A0A0F6T2Y6	0	250	444	0	93.02%	54%
A0A0P0C447	0	250	444	0	99.55%	54%
A0A0P0CGE0	0	250	444	0	99.55%	54%
T2FE34	0	250	441	0	92.06%	53%
T2FEU1	0	250	441	0	93.20%	53%
T2FEV2	0	250	441	0	90.48%	53%
T2FEV6	0	250	441	0	94.78%	53%
T2FF07	0	250	441	0	92.52%	53%
T2FF11	0	250	441	0	92.97%	53%
T2FFM6	0	250	441	0	92.06%	53%
T2FE18	0	250	441	0	86.62%	53%
T2FEM4	0	250	441	0	93.65%	53%
T2FEW7	0	250	441	0	93.65%	53%
T2FF20	0	250	441	0	90.70%	53%
T2FF24	0	250	441	0	97.73%	53%
T2FF29	0	250	441	0	96.37%	53%
T2FFP1	0	250	441	0	92.74%	53%
T2FFQ2	0	250	441	0	93.20%	53%
T2FE06	0	250	437	0	90.62%	53%
T2FEU6	0	250	437	0	90.85%	53%
T2FE11	0	250	437	0	93.36%	53%
T2FEJ7	0	250	437	0	99.08%	53%
T2FEL4	0	250	437	0	92.68%	53%
T2FEW1	0	250	437	0	93.14%	53%
T2FFP6	0	250	437	0	92.91%	53%
G9ITI4	0	250	437	0	96.57%	53%
T2FE23	0	250	435	0	91.95%	52%
T2FE28	0	250	435	0	91.95%	52%
T2FEK4	0	250	435	0	94.02%	52%
T2FEK9	0	250	435	0	92.64%	52%
T2FF15	0	250	435	0	91.95%	52%
T2FFN0	0	250	435	0	92.18%	52%
T2FFN6	0	250	435	0	92.64%	52%
G9ITF9	0	250	431	0	91.88%	52%
G9ITG0	0	250	431	0	90.49%	52%
G9ITG1	0	250	431	0	90.26%	52%
G9ITG2	0	250	431	0	91.42%	52%
G9ITG3	0	250	431	0	92.58%	52%
G9ITG4	0	250	431	0	91.65%	52%
G9ITG5	0	250	431	0	91.65%	52%
G9ITG9	0	250	431	0	93.27%	52%
G9ITH0	0	250	431	0	92.34%	52%
G9ITH1	0	250	431	0	93.27%	52%
G9ITH2	0	250	431	0	92.11%	52%
G9ITH3	0	250	431	0	95.13%	52%
G9ITH4	0	250	431	0	98.14%	52%
G9ITH8	0	250	431	0	99.30%	52%
G9ITF7	0	250	431	0	94.43%	52%
G9ITF8	0	250	431	0	94.66%	52%
G9ITI3	0	250	431	0	96.52%	52%
G9ITJ0	0	250	428	0	96.73%	52%
G9ITJ1	0	250	428	0	96.73%	52%
G9ITJ2	0	250	428	0	96.96%	52%
G9ITJ5	0	250	428	0	90.19%	52%
G9ITJ6	0	250	428	0	90.19%	52%
K7ZLW7	0	250	428	0	85.98%	52%
K7ZQB7	0	250	428	0	98.36%	52%
G9ITJ3	0	250	428	0	93.93%	52%
G9ITJ4	0	250	428	0	93.46%	52%
G9ITJ7	0	250	428	0	91.36%	52%
K7ZNB3	0	250	428	0	90.19%	52%
G9ITF2	0	250	423	0	98.35%	51%
G9ITF1	0	250	423	0	88.42%	51%
G9ITF6	0	250	406	0	94.83%	49%
G9ITF3	0	250	405	0	98.27%	49%
G9ITF4	0	250	405	0	90.12%	49%
G9ITF5	0	250	405	0	90.12%	49%
T2FEU8	0	250	365	0	92.88%	44%
T2FEQ8	0	250	365	0	92.88%	44%
T2FE40	0	250	364	0	95.88%	44%
T2FE45	0	250	364	0	92.31%	44%
T2FE51	0	250	364	0	93.96%	44%
T2FE56	0	250	364	0	95.05%	44%
T2FE61	0	250	364	0	93.68%	44%
T2FE67	0	250	364	0	92.86%	44%
T2FE78	0	250	364	0	92.58%	44%
T2FE93	0	250	364	0	92.86%	44%
T2FEA7	0	250	364	0	92.86%	44%
T2FEM9	0	250	364	0	92.03%	44%
T2FEN7	0	250	364	0	92.58%	44%
T2FEP7	0	250	364	0	93.96%	44%
T2FEQ3	0	250	364	0	95.05%	44%
T2FER3	0	250	364	0	92.31%	44%
T2FES7	0	250	364	0	93.96%	44%
T2FEU4	0	250	364	0	92.31%	44%
T2FEX2	0	250	364	0	92.58%	44%
T2FEX7	0	250	364	0	93.41%	44%
T2FEY3	0	250	364	0	93.96%	44%
T2FEY8	0	250	364	0	93.13%	44%
T2FEZ3	0	250	364	0	91.48%	44%
T2FEZ8	0	250	364	0	92.31%	44%
T2FF05	0	250	364	0	92.58%	44%
T2FF32	0	250	364	0	92.03%	44%
T2FF34	0	250	364	0	92.86%	44%
T2FF37	0	250	364	0	93.41%	44%
T2FF40	0	250	364	0	93.68%	44%
T2FF44	0	250	364	0	91.21%	44%
T2FF49	0	250	364	0	95.05%	44%
T2FF55	0	250	364	0	92.58%	44%
T2FF60	0	250	364	0	94.23%	44%
T2FF66	0	250	364	0	92.86%	44%
T2FF82	0	250	364	0	92.58%	44%
T2FF97	0	250	364	0	90.66%	44%
T2FFR1	0	250	364	0	93.68%	44%
T2FFR7	0	250	364	0	93.13%	44%
T2FFS3	0	250	364	0	93.96%	44%
T2FFS8	0	250	364	0	92.58%	44%
T2FFT3	0	250	364	0	94.51%	44%
T2FFT9	0	250	364	0	94.23%	44%
T2FFV3	0	250	364	0	92.31%	44%
T2FFW9	0	250	364	0	92.58%	44%
T2FE73	0	250	363	0	92.56%	44%
T2FFX3	0	250	363	0	95.04%	44%
T2FEP1	0	250	349	0	93.12%	42%
G9ITI0	0	250	343	0	99.71%	41%
G9ITI5	0	250	318	0	88.05%	38%
K9LKB5	0	250	311	0	92.60%	37%
G9ITG6	0	250	307	0	91.53%	37%
K9LL18	0	250	304	0	92.76%	37%
G9ITI2	0	250	301	0	90.37%	36%
G9ITH6	0	250	301	0	99.34%	36%
G9ITH7	0	250	301	0	99.00%	36%
G9ITI1	0	250	298	0	90.27%	36%
K9LJT0	0	250	292	0	91.44%	35%
G9ITG7	0	250	286	0	90.21%	34%
K9LJY7	0	250	282	0	98.23%	34%
K9LK47	0	250	282	0	99.29%	34%
K9LK51	0	250	282	0	99.29%	34%
K9LKN3	0	250	282	0	99.29%	34%
K9LKP1	0	250	282	0	98.58%	34%
K9LLA8	0	250	282	0	98.58%	34%
K9LLB3	0	250	282	0	98.94%	34%
K9LLB9	0	250	282	0	99.29%	34%
K9LLC2	0	250	282	0	99.29%	34%
K9LM08	0	250	282	0	98.94%	34%
K9LM18	0	250	282	0	99.29%	34%
K9LJY1	0	250	281	0	98.93%	34%
K9LLA3	0	250	279	0	93.91%	33%
K9LJE5	0	250	279	0	89.61%	33%
K9LK40	0	250	278	0	97.48%	33%
G9ITG8	0	250	276	0	92.39%	33%
K9LLA7	0	250	269	0	75.46%	32%
K9LK18	0	250	266	0	95.49%	32%
K9LKB2	0	250	266	0	92.86%	32%
K9LLL4	0	250	265	0	92.45%	32%
K9LK49	0	250	263	0	96.58%	32%
K9LKU4	0	250	255	0	95.29%	31%
K9LM14	0	250	255	0	99.61%	31%
T2I4K5	0	250	233	0	96.14%	28%
K9LJY9	0	250	227	0	97.80%	27%
K9LLB5	0	250	222	0	98.20%	27%
K9LJN5	0	250	207	0	92.75%	25%
T2I507	0	250	203	0	87.68%	24%
K9LM10	0	250	187	0	98.40%	22%
K9LJI3	0	250	111	0	90.99%	13%
A0A097I354	0	250	87	0	91.95%	10%
A0A097I359	0	250	87	0	94.25%	10%
A0A097I361	0	250	87	0	95.40%	10%
A0A097I362	0	250	87	0	91.95%	10%
A0A097I368	0	250	87	0	91.95%	10%
A0A0D5BEL4	0	250	87	0	96.55%	10%
A0A0D5BEM3	0	250	87	0	95.40%	10%
A0A0D5BEQ3	0	250	87	0	96.55%	10%
A0A0D5BET4	0	250	87	0	96.55%	10%
A0A0D5BEV3	0	250	87	0	96.55%	10%
A0A0D5BF93	0	250	87	0	96.55%	10%
A0A0D5BF96	0	250	87	0	97.70%	10%
A0A0D5BFA1	0	250	87	0	96.55%	10%
A0A0D5BFA9	0	250	87	0	95.40%	10%
A0A0D5BFB1	0	250	87	0	90.80%	10%
A0A0D5BFB8	0	250	87	0	96.55%	10%
A0A0D5BFC4	0	250	87	0	96.55%	10%
A0A0D5BFC9	0	250	87	0	94.25%	10%
A0A0D5BFD0	0	250	87	0	96.55%	10%
A0A0D5BFD5	0	250	87	0	95.40%	10%
A0A0D5BFD7	0	250	87	0	96.55%	10%
A0A0D5BFE0	0	250	87	0	96.55%	10%
A0A0D5BFE1	0	250	87	0	96.55%	10%
A0A0D5BFF8	0	250	87	0	96.55%	10%
K9LJH4	0	250	78	0	98.72%	9%
K9LK26	0	250	73	0	97.26%	8%
K9LK60	0	250	71	0	98.59%	8%
K9LLC3	0	250	71	0	97.18%	8%
K9LL31	0	250	70	0	97.14%	8%
K9LJL6	0	250	70	0	97.14%	8%
K9LK33	0	250	70	0	98.57%	8%
K9LK58	0	250	70	0	95.71%	8%
K9LK66	0	250	70	0	95.71%	8%
K9LLC6	0	250	70	0	95.71%	8%
K9LLG1	0	250	70	0	98.57%	8%
K9LJI5	0	250	70	0	82.86%	8%
K9LKV1	0	250	70	0	95.71%	8%
K9LKW6	0	250	70	0	81.43%	8%
K9LJU2	0	250	69	0	97.10%	8%
K9LLM9	0	250	69	0	92.75%	8%
K9LJP5	0	250	69	0	94.20%	8%
K9LJQ1	0	250	69	0	91.30%	8%
K9LJT2	0	250	69	0	94.20%	8%
K9LJT5	0	250	69	0	97.10%	8%
K9LJT9	0	250	69	0	98.55%	8%
K9LKB8	0	250	69	0	95.65%	8%
K9LKC4	0	250	69	0	95.65%	8%
K9LKC7	0	250	69	0	92.75%	8%
K9LL34	0	250	69	0	95.65%	8%
K9LLL8	0	250	69	0	95.65%	8%
K9LKU6	0	250	69	0	86.96%	8%
K9LJE8	0	250	69	0	91.30%	8%
K9LK56	0	250	69	0	97.10%	8%
K9LKW7	0	250	69	0	92.75%	8%
K9LJF0	0	250	69	0	98.55%	8%
K9LJI7	0	250	69	0	98.55%	8%
K9LLB4	0	250	68	0	98.53%	8%
K9LLM5	0	250	68	0	95.59%	8%
K9LJJ5	0	250	68	0	98.53%	8%
K9LK29	0	250	68	0	98.53%	8%
K9LJL9	0	250	68	0	97.06%	8%
K9LJZ7	0	250	68	0	97.06%	8%
K9LJF5	0	250	68	0	82.35%	8%
K9LK22	0	250	68	0	92.65%	8%
K9LL21	0	250	67	0	94.03%	8%
K9LJF3	0	250	67	0	98.51%	8%
A0A2C9CJB5	1	1097	642	1	100	100%
A0A1E3XEZ6	1	1097	588	0	76.36%	91%
Q1PYC5	1	1097	577	0	97.40%	89%
L0C944	1	1097	354	0	91.53%	55%
L0C949	1	1097	354	0	90.40%	55%
L0C9I4	1	1097	354	0	90.11%	55%
L0C9I8	1	1097	354	0	90.11%	55%
L0C9J7	1	1097	354	0	90.11%	55%
L0CB36	1	1097	354	0	90.40%	55%
L0CB62	1	1097	354	0	90.11%	55%
L0CB67	1	1097	354	0	90.11%	55%
L0C954	1	1097	354	0	83.33%	55%
