id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
A0A3D0CAP3	0	1084	1036	1	100	100%
A0A407KR46	0	1084	855	0	52.98%	82%
1122619.KB892368_ge	0	1084	849	0	57.48%	81%
1122619.KB892368_ge	0	1084	849	0	89.10%	81%
1401065.HMPREF2130_	0	1084	846	0	91.25%	81%
our:CEQ07_07960	0	1084	846	0	91.13%	81%
WP_018026980.1	0	1084	846	0	91.13%	81%
WP_115020770.1	0	1084	846	0	91.13%	81%
1401065.HMPREF2130_	0	1084	846	0	91.25%	81%
our:CEQ07_07960	0	1084	846	0	91.13%	81%
WP_018026980.1	0	1084	846	0	91.13%	81%
WP_115020770.1	0	1084	846	0	91.13%	81%
mvs:MVIS_0200	0	1084	845	0	60.59%	81%
54308688	0	1084	843	0	80.31%	81%
WP_075767790.1	0	1084	843	0	91.46%	81%
WP_107284439.1	0	1084	843	0	91.70%	81%
WP_128782810.1	0	1084	843	0	92.05%	81%
675817.VDA_002208	0	1084	843	0	81.02%	81%
pds:CAY62_05955	0	1084	843	0	99.64%	81%
WP_044175760.1	0	1084	843	0	99.64%	81%
WP_065172127.1	0	1084	843	0	99.76%	81%
WP_086958214.1	0	1084	843	0	99.53%	81%
pgb:H744_2c2272	0	1084	843	0	80.90%	81%
1453496.AT03_19430	0	1084	838	0	62.77%	80%
WP_043489091.1	0	1084	838	0	99.40%	80%
WP_096388547.1	0	1084	838	0	99.52%	80%
WP_111330511.1	0	1084	838	0	99.28%	80%
WP_130992592.1	0	1084	838	0	99.05%	80%
WP_130994044.1	0	1084	838	0	99.40%	80%
1201293.AKXQ0100001	0	1084	837	0	94.74%	80%
A0A2G2IPR1	0	1084	837	0	92.47%	80%
WP_006032733.1	0	1084	837	0	92.59%	80%
WP_101063472.1	0	1084	837	0	93.67%	80%
399741.Spro_4218	0	1084	837	0	85.90%	80%
WP_079939061.1	0	1084	837	0	82.20%	80%
WP_004097266.1	0	1084	836	0	87.20%	80%
WP_008815305.1	0	1084	836	0	98.09%	80%
WP_064572705.1	0	1084	836	0	98.80%	80%
WP_070718102.1	0	1084	836	0	99.16%	80%
WP_118938128.1	0	1084	836	0	98.92%	80%
WP_130954546.1	0	1084	836	0	98.68%	80%
WP_130959366.1	0	1084	836	0	98.92%	80%
WP_130974739.1	0	1084	836	0	98.33%	80%
WP_130975521.1	0	1084	836	0	98.80%	80%
WP_130995855.1	0	1084	836	0	98.44%	80%
mya:MORIYA_2768	0	1084	835	0	91.86%	80%
WP_089849899.1	0	1084	835	0	63.11%	80%
oai:OLEAN_C26830	0	1084	834	0	80.34%	80%
