id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
1121396.KB893100_gene4316	0	1	1399	1	100	100%
WP_139653908.1	1	2976	1372	1	100	100%
ctes:O987_13620	1	2976	1078	0	45.92%	78%
jal:BZG29_03450	1	2976	1073	0	40.45%	78%
jsv:CNX70_03505	1	2976	1073	0	97.11%	78%
WP_046681684.1	1	2976	1073	0	96.74%	78%
WP_058049490.1	1	2976	1073	0	96.74%	78%
WP_072457641.1	1	2976	1073	0	97.30%	78%
WP_141171487.1	1	2976	1073	0	97.11%	78%
jaz:YQ44_24705	1	2976	1072	0	95.06%	78%
A0A3R3D1A6	1	2976	1071	0	96.36%	78%
WP_102294484.1	1	2976	1071	0	96.17%	78%
WP_070259544.1	1	2976	1069	0	97.75%	77%
399795.CtesDRAFT_PD	1	2976	1068	0	98.41%	77%
29581.BW37_03140	1	2976	1068	0	97.57%	77%
A0A3R4M314	1	2976	1068	0	97.19%	77%
WP_128141092.1	1	2976	1068	0	97.47%	77%
WP_139092230.1	1	2976	1068	0	97.10%	77%
160899680	1	2976	1066	0	70.83%	77%
del:DelCs14_2605	1	2976	1066	0	99.16%	77%
dhk:BO996_18930	1	2976	1066	0	99.25%	77%
dts:BI380_06985	1	2976	1066	0	98.97%	77%
WP_074921340.1	1	2976	1066	0	99.34%	77%
WP_088164472.1	1	2976	1066	0	98.87%	77%
WP_133072909.1	1	2976	1066	0	99.25%	77%
1532557.JL37_16555	1	2976	1066	0	89.12%	77%
311105623	1	2976	1066	0	91.93%	77%
A0A446CQ77	1	2976	1066	0	92.31%	77%
WP_054459193.1	1	2976	1066	0	92.31%	77%
WP_088448263.1	1	2976	1066	0	91.28%	77%
477184.KYC_10081	1	2976	1065	0	90.42%	77%
A0A3R2V265	1	2976	1065	0	90.61%	77%
1123255.JHYS0100000	1	2976	1064	0	70.58%	77%
1003200.AXXA_21223	1	2976	1064	0	86.47%	77%
adt:APT56_11075	1	2976	1064	0	96.05%	77%
axo:NH44784_040611	1	2976	1064	0	96.33%	77%
WP_049074700.1	1	2976	1064	0	96.15%	77%
WP_054416075.1	1	2976	1064	0	96.52%	77%
WP_054504037.1	1	2976	1064	0	96.15%	77%
WP_063569019.1	1	2976	1064	0	96.05%	77%
WP_063580508.1	1	2976	1064	0	96.33%	77%
WP_063583288.1	1	2976	1064	0	96.15%	77%
WP_063588168.1	1	2976	1064	0	96.05%	77%
WP_064528472.1	1	2976	1064	0	96.24%	77%
1223521.BBJX0100001	1	2976	1064	0	83.27%	77%
232721.Ajs_2424	1	2976	1064	0	95.96%	77%
535289.Dtpsy_1423	1	2976	1064	0	96.90%	77%
dpy:BA022_06880	1	2976	1064	0	95.77%	77%
264678369	1	2976	1063	0	93.89%	77%
WP_116793381.1	1	2976	1062	0	95.76%	77%
WP_141702799.1	1	2976	1062	0	96.14%	77%
WP_144655134.1	1	2976	1062	0	95.95%	77%
WP_102771515.1	1	2976	1062	0	90.21%	77%
WP_111825420.1	1	2976	1062	0	90.21%	77%
1219031.BBJR0100005	1	2976	1062	0	82.30%	77%
1216976.AX27061_224	1	2976	1061	0	96.42%	77%
melm:C7H73_11110	1	2976	1060	0	80.00%	77%
WP_102071408.1	1	2976	1060	0	66.42%	77%
1192868.CAIU0100000	1	2976	1059	0	59.68%	77%
mela:C6568_15110	1	2976	1059	0	77.05%	77%
boz:DBV39_11415	1	2976	1057	0	71.14%	77%
WP_102075183.1	1	2976	1056	0	82.39%	76%
achr:C2U31_23525	1	2976	1055	0	87.30%	76%
WP_137237040.1	1	2976	1055	0	77.54%	76%
WP_149395769.1	1	2976	1055	0	98.58%	76%
bbm:BN115_1199	1	2976	1053	0	78.63%	76%
bbx:BBS798_1205	1	2976	1053	0	99.53%	76%
WP_003809138.1	1	2976	1053	0	99.05%	76%
WP_010927818.1	1	2976	1053	0	99.53%	76%
