id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
a202c9dd2b3dec7fc69	0	8	1410	1	100	100%
J7KUG6	0	8	1410	0	96.60%	100%
8ac7d4084eee674acea	0	8	1396	0	97.42%	99%
A0A0H3I6H4	0	8	1396	0	96.92%	99%
C6DA04	0	8	1396	0	96.56%	99%
D0KLJ4	0	8	1396	0	96.85%	99%
Q6D2V3	0	8	1395	0	97.13%	98%
88d8872e423397e584a	0	8	1246	0	96.15%	88%
B2VKH3	1	1	1400	1	100	100%
f4d28975878220cf4af	2	17	1399	1	100	100%
44844a7cafcaa3004b9	2	17	1396	0	94.34%	99%
25836ddb3361447b0ec	2	17	1394	0	98.92%	99%
205d7f94ac139568189	2	17	1392	0	90.09%	99%
22b142cc1a4d37f9a9f	2	17	1392	0	91.31%	99%
105bb6278fd0ecaec4b	2	17	1391	0	94.75%	99%
E0SKC9	2	17	1391	0	94.61%	99%
fdf382d0efe0d53264c	2	17	1391	0	93.17%	99%
02e576f57aea9e8e237	2	17	1390	0	94.82%	99%
38d70a4838727c90d25	2	17	1390	0	95.61%	99%
64d36dbbd0cdbcf9271	2	17	1390	0	95.68%	99%
e49fddc0ea192e77139	2	17	1387	0	91.35%	99%
C6CEV1	2	17	1386	0	91.13%	99%
c708e328941172cab20	2	17	1259	0	90.07%	89%
3b2c69d78440e9b417c	2	17	975	0	90.15%	69%
A0A089VDE8	2	17	972	0	96.50%	69%
5af9c7e0e3f09adc364	2	17	603	0	92.87%	43%
H2IYS9	3	4	1399	1	100	100%
A0A0H3FCZ4	3	4	1391	0	96.12%	99%
879f4212449af28d311	3	4	987	0	92.20%	70%
7bd14a263fe4a446c0a	3	4	408	0	96.57%	29%
05fef9e88fe8d0c9273	4	8	1392	1	100	100%
49411a43c737f8e6958	4	8	1392	0	98.92%	100%
D2BRZ6	4	8	1392	0	99.07%	100%
4386bfd3c0b1676ed9d	4	8	1390	0	96.55%	99%
9d49ea84bf75b4ab31d	4	8	1388	0	96.90%	99%
9981b362c04fec12242	4	8	1387	0	96.83%	99%
A0A0A8FJ08	4	8	1387	0	97.12%	99%
b3afb48629a2f5c0bf1	4	8	773	0	98.97%	55%
A0A0H3L2S7	5	7	1384	1	100	100%
D4GD06	5	7	1384	0	99.28%	100%
02c697e76f1f4d940d4	5	7	1357	0	99.26%	98%
780035bcf51a9620b0b	5	7	1357	0	98.82%	98%
A0A221N6A5	5	7	1357	0	99.19%	98%
a7bf1c949111616dedb	5	7	1357	0	99.71%	98%
5ca50b93414d0770f0c	5	7	667	0	99.40%	48%
A0A1B1KSN8	6	4	1382	1	100	100%
d3df67140206f9ade02	6	4	1382	0	96.24%	100%
ec1ab96c34b71e85886	6	4	1382	0	96.24%	100%
S0AFV4	6	4	1382	0	96.24%	100%
7d4d8d6b7420cbfb1b8	7	2	1381	1	100	100%
A8GFW7	7	2	1381	0	98.70%	100%
D4E501	8	2	1381	1	100	100%
a689a1f94db20e4d0cf	8	2	1376	0	99.93%	99%
L0MGF3	9	2	1380	1	100	100%
A0A126VIB2	9	2	1373	0	98.76%	99%
C6C973	10	1	1373	1	100	100%
A0A0E1CD72	11	44	1367	1	100	100%
A6TAM5	11	44	1367	0	99.56%	100%
C8T328	11	44	1367	0	99.41%	100%
kpu:KP1_3332	11	44	1367	0	99.56%	100%
W8UGB4	11	44	1360	0	100.00%	99%
055df50722069964480	11	44	1355	0	99.56%	99%
2dc61e571418e609fb7	11	44	1355	0	99.70%	99%
3702783c960710554e0	11	44	1355	0	99.48%	99%
39126030c1f92835d25	11	44	1355	0	99.41%	99%
4515d1f0db6274d9c89	11	44	1355	0	96.75%	99%
8b596c3c2685d6e8dc1	11	44	1355	0	96.38%	99%
96c5353b83f05aafb7b	11	44	1355	0	96.38%	99%
991bcd70623080e9ca6	11	44	1355	0	99.63%	99%
A0A0C7K807	11	44	1355	0	99.63%	99%
A0A1D3U1W6	11	44	1355	0	99.63%	99%
A0A231WPB7	11	44	1355	0	99.34%	99%
a24072e38ffd5ccca62	11	44	1355	0	99.41%	99%
a441a2e60b06c35d6d5	11	44	1355	0	99.56%	99%
ade4cee2dd8f5213ef7	11	44	1355	0	96.90%	99%
ae124f66582c0442a12	11	44	1355	0	99.48%	99%
c85125782edfcf191d3	11	44	1355	0	99.48%	99%
cc9dd11c5a139ca5c21	11	44	1355	0	99.56%	99%
dfe5a6df96cc9346999	11	44	1355	0	99.48%	99%
e8d734d246ac0cd9ab9	11	44	1355	0	99.78%	99%
eb5b528f0ae1ea826d7	11	44	1355	0	99.70%	99%
fbfd4862ee01044cd1f	11	44	1355	0	97.05%	99%
b73d61d88de5e97994e	11	44	1350	0	99.93%	98%
fc56c9b513fe5b5f7b3	11	44	1237	0	98.79%	90%
4cf27eed5918803537e	11	44	1180	0	99.49%	86%
380f9577afb68600891	11	44	976	0	99.49%	71%
c0cf8860562b82ea2b7	11	44	957	0	99.27%	70%
A0A0H3GPP2	11	44	824	0	92.84%	60%
1590b820341ef56a0c8	11	44	776	0	96.78%	56%
27749eb27fbba546ea0	11	44	705	0	99.29%	51%
1557cb85b3668468794	11	44	703	0	99.57%	51%
ae5e2c0a559beb3793b	11	44	671	0	94.78%	49%
0a530acbc8392193a4f	11	44	663	0	93.97%	48%
f4822e19f27b3ae8acc	11	44	588	0	99.49%	43%
9c5523bb9759e58a367	11	44	586	0	99.83%	42%
ab241e5eefbd2d1ccdc	11	44	494	0	99.39%	36%
5a0629b84dc93ae87a5	11	44	439	0	98.18%	32%
5118415c36a8e3e5d9a	11	44	375	0	92.00%	27%
a0e583809eb125043b8	11	44	140	0	97.86%	10%
7217e3c3a9940d304df	11	44	126	0	95.24%	9%
A0A1W6B9R9	12	1	1362	1	100	100%
ceb98030b08568b7e91	13	1	1362	1	100	100%
W0HZ36	14	1	1362	1	100	100%
27ccb109c44b80b23f3	15	1	1357	1	100	100%
1b0524a814aeacfb829	16	11	1356	1	100	100%
214cc4bd6434d840494	16	11	1356	0	99.48%	100%
5473c288cc05c0d6553	16	11	1356	0	93.95%	100%
749f8bdc96fee7b43cf	16	11	1356	0	93.51%	100%
9e50e1585d35fbb6c43	16	11	1356	0	93.88%	100%
c269481bd91b28de8ef	16	11	1356	0	99.48%	100%
f3d567534b65db976fa	16	11	1356	0	99.26%	100%
0a8a2a64662f860a213	16	11	1351	0	96.00%	99%
A0A0H3HD06	16	11	1351	0	95.93%	99%
4ad883cd26e01124457	16	11	1077	0	95.08%	79%
A0A068HE14	16	11	957	0	97.60%	70%
A0A0U5L541	17	1	1356	1	100	100%
0158ee1e0099fc5b047	18	2	1355	1	100	100%
9675089054bf21a24a2	18	2	1355	0	91.51%	100%
0a8c07493e2dd7018a4	19	17	1355	1	100	100%
284f056f2c6d54864b6	19	17	1355	0	93.21%	100%
55e0e8a2c9f816ad609	19	17	1355	0	92.84%	100%
672cc5ec0facff5868e	19	17	1355	0	92.92%	100%
832a36456748030b0e3	19	17	1355	0	92.84%	100%
86552cf49efa99b8a71	19	17	1355	0	93.21%	100%
95ff764bceba998a2b9	19	17	1355	0	92.77%	100%
9acdfbf1987479573b1	19	17	1355	0	92.69%	100%
A0A0F6VUE9	19	17	1355	0	93.14%	100%
A7MNA9	19	17	1355	0	92.84%	100%
C9XTU3	19	17	1355	0	92.47%	100%
V5U014	19	17	1355	0	92.77%	100%
ce2604ce65a6f71d9e8	19	17	1212	0	93.65%	89%
7db9808bb330523f8db	19	17	1130	0	91.86%	83%
ed2c9589b6408e805fe	19	17	1130	0	93.45%	83%
A0A0K2N9N8	19	17	957	0	95.51%	70%
946ce721734630a6212	19	17	399	0	96.49%	29%
A0A1Z3XX12	20	2	1355	1	100	100%
A8AG20	20	2	1355	0	99.11%	100%
A0A291CYF2	21	1	1355	1	100	100%
H5V505	22	1	1355	1	100	100%
444d47082599f3cd44e	23	3	1354	1	100	100%
A0A0H3FRM1	23	3	1354	0	98.67%	100%
a6590ab62aa135e63ca	23	3	1354	0	99.11%	100%
469595.CSAG_01574	24	2	1354	1	100	100%
77e2937c6c3d53c5dee	24	2	1354	0	98.97%	100%
517433.PanABDRAFT_2	25	4	1354	1	100	100%
51d10eeb78660de14ec	25	4	1354	0	93.13%	100%
dff144badfc9ad41455	25	4	1354	0	93.21%	100%
E1SB10	25	4	1354	0	93.94%	100%
3f333d3562561137941	26	3	1353	1	100	100%
ab8a232b998e71477a8	26	3	1353	0	99.41%	100%
A0A0B5IS22	26	3	957	0	90.60%	70%
D2ZDB9	27	2	1342	1	100	100%
A0A0E1JFS5	27	2	932	0	91.20%	69%
4a174e833035a048f1c	28	2	1340	1	100	100%
A0A0X8QAY6	28	2	957	0	92.79%	71%
D2PKK1	29	2	1337	1	100	100%
c8380dcf77b3945282f	29	2	1332	0	99.92%	99%
D2TL94	30	2	1330	1	100	100%
67befe589a8bead06f8	30	2	1327	0	99.92%	99%
A0A0H3CH17	31	15	1329	1	100	100%
A0A0M1R597	31	15	1329	0	97.97%	100%
de0e063399a406de63b	31	15	1329	0	98.95%	100%
G8LF69	31	15	1329	0	90.44%	100%
6c356b0fe1bf292f75d	31	15	1328	0	90.14%	99%
718254.ENC_07780	31	15	1328	0	90.59%	99%
77264dc98c7fc3542a7	31	15	1328	0	90.36%	99%
A0A229H3P0	31	15	1328	0	90.21%	99%
A0A235MB83	31	15	1328	0	90.44%	99%
a1af5371da53383c4f3	31	15	1328	0	90.66%	99%
b6247606e60e6736466	31	15	1328	0	91.27%	99%
eab0c8303c83902e40e	31	15	1328	0	90.59%	99%
f06e42c736b42ec76c4	31	15	1328	0	90.44%	99%
5649b7eb32cb0d436be	31	15	1307	0	94.49%	98%
6598bc5da715b9414de	31	15	149	0	91.28%	11%
A0A1A9FH97	32	1	1328	1	100	100%
A4WBB1	33	1	1328	1	100	100%
G2S7B3	34	1	1328	1	100	100%
e549e4bf9a04e24d062	35	1	1300	1	100	100%
207954.MED92_02893	36	1	1247	1	100	100%
A0A1L6L9J0	37	1	1206	1	100	100%
29850.GGTG_00326T0	38	1	1187	1	100	100%
8c0709b0fc1f4b29563	39	1	1176	1	100	100%
5022.CBX99386	40	3	1166	1	100	100%
426418.XP_001935307	40	3	1157	0	90.06%	99%
861557.XP_003297701	40	3	1157	0	90.32%	99%
240176.XP_001840498	41	1	1161	1	100	100%
148305.A4REK9	42	2	1153	1	100	100%
b6239508ce2640cbd65	42	2	558	0	99.82%	48%
771870.XP_003347744	43	1	1151	1	100	100%
578455.XP_003650576	44	1	1128	1	100	100%
1047171.EFQ30221	45	1	1124	1	100	100%
573729.XP_003664218	46	1	1117	1	100	100%
40559.EDN17859	47	1	1112	1	100	100%
39416.CAZ85383	48	1	1110	1	100	100%
162425.CADANIAP0000	49	1	1104	1	100	100%
306901.XP_001226928	50	1	1103	1	100	100%
33178.CADATEAP00009	51	1	1103	1	100	100%
5057.CADACLAP000023	52	2	1103	1	100	100%
36630.CADNFIAP00000	52	2	1102	0	90.20%	99%
5085.CADAFUBP000012	53	1	1102	1	100	100%
441960.XP_002146261	54	2	1097	1	100	100%
441959.XP_002478560	54	2	1094	0	94.52%	99%
5061.CADANGAP000067	55	1	1097	1	100	100%
5062.CADAORAP000060	56	2	1097	1	100	100%
5059.CADAFLAP000037	56	2	885	0	99.66%	80%
515849.XP_001906159	57	1	1095	1	100	100%
5306.JGI100241	58	1	1095	1	100	100%
117187.FVEG_02069T0	59	3	1089	1	100	100%
5507.FOXG_03192P0	59	3	1089	0	99.08%	100%
229533.XP_388578.1	59	3	1088	0	91.18%	99%
140110.NechaP77775	60	1	1089	1	100	100%
500485.XP_002559560	61	1	1086	1	100	100%
2320587017e2f0339ab	62	2	1085	1	100	100%
b0179a83ddeba1e2cd2	62	2	1085	0	98.80%	100%
486041.XP_001887050	63	1	1083	1	100	100%
65071.PYU1_T000378	64	1	1070	1	100	100%
67593.Physo140562	65	1	1057	1	100	100%
164328.Phyra76696	66	1	1054	1	100	100%
4787.PITG_13013T0	67	1	1046	1	100	100%
9afe8a0dc1a488dabe2	68	1	1017	1	100	100%
b7f4a7aafee1aeba1f1	69	1	1015	1	100	100%
13684.SNOT_06023	70	1	1008	1	100	100%
35128.Thaps26941	71	1	1006	1	100	100%
314230.DSM3645_1633	72	1	1000	1	100	100%
344747.PM8797T_2928	73	1	986	1	100	100%
A0A142YHV6	74	1	979	1	100	100%
945681.APO_0433	75	4	975	1	100	100%
A0A160BRU0	75	4	965	0	99.90%	98%
A0A1Y0Y9T0	75	4	965	0	99.27%	98%
C7JIS1	75	4	718	0	99.03%	73%
edeed107cffb8c41f51	76	1	975	1	100	100%
A0A250BCR1	77	1	974	1	100	100%
K7TCU3	78	1	974	1	100	100%
V5AGM3	79	3	974	1	100	100%
e9ff280cb2dd65fcb86	79	3	549	0	95.08%	56%
e57c26f2ca461ab337e	79	3	109	0	97.25%	11%
A0A250B8M7	80	1	972	1	100	100%
a7c4ec3689a88cccea6	81	1	971	1	100	100%
Q3A0J3	82	1	971	1	100	100%
R9VPW8	83	2	970	1	100	100%
W6J6Z5	83	2	970	0	98.14%	100%
A0A1Y0LCZ1	84	1	969	1	100	100%
0ac65450a52e3d2f3ee	85	3	968	1	100	100%
96e8ad20eef8547bfd3	85	3	965	0	98.96%	99%
e89b604547ce3358b23	85	3	965	0	90.47%	99%
