id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
126957.SMAR006490-P	0	7	1921	1	100	100%
176946.XP_007442897	0	7	667	0	55.32%	34%
9258.ENSOANP0000001	0	7	623	0	67.09%	32%
6326.BUX.s01109.403	0	7	603	0	53.57%	31%
10029.XP_007625165.	0	7	291	0	78.01%	15%
7260.FBpp0253210	0	7	243	0	55.97%	12%
52644.XP_010576317.	0	7	214	0	71.03%	11%
529818.AMSG_11344T0	1	38	1802	1	100	100%
702113.PP1Y_AT23638	1	38	413	0	56.17%	22%
WP_098105915.1	1	38	413	0	94.43%	22%
A0A431RU00	1	38	412	0	54.37%	22%
WP_086466610.1	1	38	408	0	74.26%	22%
1177928.TH2_19914	1	38	405	0	95.80%	22%
A0A2E6Y087	1	38	405	0	92.59%	22%
rbm:TEF_15835	1	38	405	0	93.58%	22%
A0A3M1JAI9	1	38	405	0	71.36%	22%
A0A117SDI5	1	38	405	0	65.19%	22%
A0A2D9F817	1	38	404	0	62.38%	22%
A0A356W660	1	38	404	0	99.50%	22%
A0A2W5ZPX3	1	38	404	0	58.42%	22%
WP_066733978.1	1	38	404	0	91.34%	22%
A0A2H6IW23	1	38	403	0	62.28%	22%
mdi:METDI1444	1	38	403	0	81.14%	22%
A0A2D5J5U1	1	38	402	0	54.98%	22%
A0A2D9VIH4	1	38	402	0	84.58%	22%
WP_092761885.1	1	38	402	0	78.86%	22%
WP_108693271.1	1	38	402	0	76.62%	22%
WP_119400530.1	1	38	402	0	78.61%	22%
A0A2E0IHP8	1	38	401	0	51.37%	22%
WP_051371773.1	1	38	401	0	91.52%	22%
1397528.Q671_15605	1	38	400	0	53.00%	22%
WP_092848841.1	1	38	400	0	99.75%	22%
1504981.KO116_2273	1	38	400	0	82.75%	22%
A0A1M5ES89	1	38	400	0	93.25%	22%
WP_072824760.1	1	38	400	0	75.25%	22%
A0A258L018	1	38	400	0	53.50%	22%
WP_050532716.1	1	38	400	0	85.50%	22%
1547437.LL06_01605	1	38	398	0	60.05%	22%
WP_152007355.1	1	38	398	0	98.49%	22%
WP_099912865.1	1	38	398	0	89.20%	22%
WP_066459618.1	1	38	396	0	88.13%	21%
272630.MexAM1_META1	1	38	287	0	72.21%	15%
WP_056459668.1	1	38	287	0	98.61%	15%
WP_138935005.1	1	38	205	0	63.41%	11%
hbe:BEI_2361	1	38	171	0	75.44%	9%
