id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
A0A2W5ZA41	0	1962	932	1	100	100%
1265502.KB905937_ge	0	1962	579	0	82.18%	62%
326405541	0	1962	578	0	77.16%	62%
349163.Acry_3048	0	1962	578	0	99.48%	62%
571166.KI421509_gen	0	1962	575	0	83.89%	61%
1121035.AUCH0100000	0	1962	574	0	83.13%	61%
1305735.JAFT0100000	0	1962	565	0	83.45%	60%
351016.RAZWK3B_1282	0	1962	565	0	81.73%	60%
suli:C1J05_07890	0	1962	565	0	90.27%	60%
1123355.JHYO0100001	0	1962	562	0	50.67%	60%
magq:MGMAQ_1860	0	1962	562	0	70.46%	60%
A0A537C4Y2	0	1962	487	0	40.04%	52%
A0A536U114	0	1962	483	0	98.55%	51%
WP_151124201.1	0	1962	483	0	40.99%	51%
A0A522ZQL0	0	1962	481	0	42.41%	51%
1380394.JADL0100001	0	1962	478	0	44.98%	51%
WP_084383094.1	0	1962	478	0	64.44%	51%
A0A3C0K937	0	1962	476	0	88.24%	51%
1380355.JNIJ0100000	0	1962	473	0	60.53%	50%
WP_085082185.1	0	1962	473	0	69.56%	50%
WP_109109112.1	0	1962	473	0	95.14%	50%
WP_119833429.1	0	1962	473	0	87.95%	50%
WP_149272727.1	0	1962	472	0	98.09%	50%
WP_109156605.1	0	1962	471	0	98.09%	50%
WP_136701936.1	0	1962	471	0	98.30%	50%
pox:MB84_03620	0	1962	470	0	65.74%	50%
A0A3A0EZX5	0	1962	470	0	73.83%	50%
cgd:CR3_2734	0	1962	468	0	72.44%	50%
WP_096670483.1	0	1962	468	0	79.70%	50%
vff:VITFI_CDS0985	0	1962	468	0	81.41%	50%
pfg:AB870_10520	0	1962	467	0	95.93%	50%
1424334.W822_02990	0	1962	466	0	45.06%	50%
543913.D521_0985	0	1962	466	0	62.02%	50%
pdq:CL55_00010970	0	1962	466	0	96.14%	50%
WP_103711337.1	0	1962	464	0	56.25%	49%
pve:UC34_23605	0	1962	463	0	93.09%	49%
1158292.JPOE0100000	0	1962	462	0	73.23%	49%
1158292.JPOE0100000	0	1962	462	0	60.61%	49%
