id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
126957.SMAR011666-P	0	10	4140	1	100	100%
10228.TriadP21102	0	10	525	0	52.00%	12%
10224.XP_002736595.	0	10	516	0	53.49%	12%
6500.XP_005091798.1	0	10	516	0	51.55%	12%
7739.XP_002609448.1	0	10	515	0	50.87%	12%
6412.HelroP112795	0	10	490	0	50.20%	11%
sbf:JCM31447_12650	0	10	467	0	50.32%	11%
941639.BCO26_0401	0	10	89	0	55.06%	2%
477184.KYC_04157	0	10	45	0	64.44%	1%
1460635.JCM19038_17	0	10	38	0	63.16%	0%
126957.SMAR010270-P	1	3	2348	1	100	100%
126957.SMAR005053-P	1	3	79	0	50.63%	3%
126957.SMAR005056-P	1	3	62	0	82.26%	2%
226899.F0XIU3	2	86	1974	1	100	100%
710243.XP_007601861	2	86	739	0	55.48%	37%
162425.CADANIAP0000	2	86	648	0	60.32%	32%
162425.CADANIAP0000	2	86	648	0	81.49%	32%
36630.CADNFIAP00000	2	86	647	0	91.34%	32%
36630.CADNFIAP00000	2	86	647	0	91.34%	32%
69781.S8B2T8	2	86	592	0	80.24%	29%
36630.CADNFIAP00004	2	86	589	0	82.34%	29%
746128.CADAFUBP0000	2	86	589	0	97.11%	29%
5057.CADACLAP000074	2	86	588	0	81.29%	29%
5059.CADAFLAP000027	2	86	586	0	84.81%	29%
ang:ANI_1_1228074	2	86	583	0	84.39%	29%
40384.G7X7B4	2	86	582	0	98.28%	29%
710243.XP_007594893	2	86	581	0	63.51%	29%
226899.F0XPR7	2	86	571	0	53.24%	28%
337075.U4LDW4	2	86	559	0	51.52%	28%
101028.EKJ69408	2	86	559	0	60.82%	28%
746128.CADAFUBP0000	2	86	559	0	60.21%	28%
29908.U7Q3D9	2	86	552	0	71.20%	27%
568076.XP_007822255	2	86	539	0	51.95%	27%
35720.XP_003655608.	2	86	537	0	70.20%	27%
51453.EGR48726	2	86	530	0	73.58%	26%
63577.G9P667	2	86	517	0	82.21%	26%
85929.M3D322	2	86	511	0	70.45%	25%
92637.XP_007813201.	2	86	508	0	63.19%	25%
40384.G7XZH0	2	86	505	0	70.30%	25%
5059.CADAFLAP000070	2	86	505	0	80.20%	25%
5062.CADAORAP000085	2	86	505	0	99.80%	25%
28564.XP_002479224.	2	86	505	0	70.30%	25%
37727.XP_002146930.	2	86	505	0	93.66%	25%
80884.CCF46314	2	86	504	0	92.06%	25%
97096.XP_007789646.	2	86	504	0	80.75%	25%
474922.ELA31855	2	86	504	0	71.43%	25%
33178.CADATEAP00004	2	86	503	0	80.32%	25%
35725.K2RR51	2	86	503	0	63.42%	25%
140110.NechaP41063	2	86	502	0	80.68%	25%
5465.ENH87027	2	86	502	0	85.66%	25%
101028.EKJ72833	2	86	502	0	74.10%	25%
5518.FGSG_00139P0	2	86	502	0	98.80%	25%
29875.EHK18639	2	86	502	0	80.88%	25%
51453.EGR47038	2	86	502	0	91.83%	25%
393283.XP_007828972	2	86	502	0	80.28%	25%
61273.S3CVF9	2	86	502	0	71.91%	25%
63577.G9NQQ2	2	86	502	0	73.71%	25%
29875.EHK21836	2	86	501	0	62.28%	25%
310453.XP_007583654	2	86	501	0	83.43%	25%
117187.FVEG_00151T0	2	86	501	0	94.01%	25%
5127.CCT63182	2	86	501	0	93.81%	25%
5507.FOXG_01338P0	2	86	501	0	94.21%	25%
64363.EME41389	2	86	501	0	72.46%	25%
1108849.XP_00256009	2	86	500	0	56.00%	25%
43228.XP_007737577.	2	86	500	0	63.80%	25%
5518.FGSG_04194P0	2	86	500	0	99.40%	25%
140110.NechaP70076	2	86	500	0	86.00%	25%
393283.XP_007828498	2	86	500	0	67.60%	25%
