id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
C0FP32	0	425	1038	1	100	100%
0eb8e600c1776578406	0	425	586	0	54.95%	56%
33f22c72cc95b83502e	0	425	565	0	59.82%	54%
U2Q6D0	0	425	564	0	74.47%	54%
A0A1L8MYW8	0	425	561	0	53.83%	54%
A0A134CB51	0	425	556	0	56.65%	53%
A0A143XKJ3	0	425	555	0	65.23%	53%
A0A0J1G960	0	425	554	0	64.98%	53%
A0A1C6E4L1	0	425	552	0	70.29%	53%
A0A1Y4BAQ0	0	425	551	0	98.73%	53%
A0A1C6CGP9	0	425	550	0	65.45%	52%
A0A1Y4V1T6	0	425	549	0	94.54%	52%
A0A1C5NWS3	0	425	545	0	98.90%	52%
A0A1C6BV75	0	425	545	0	99.08%	52%
D7GRW2	0	425	545	0	98.72%	52%
R5FYT0	0	425	545	0	99.27%	52%
A0A1Q6PYC2	0	425	545	0	59.27%	52%
cbb12eb136d90cbea44	0	425	544	0	68.01%	52%
E2ZA94	0	425	541	0	73.38%	52%
U7UVL7	0	425	541	0	84.29%	52%
A5Z3A8	0	425	541	0	74.68%	52%
R6FGV9	0	425	539	0	74.58%	51%
R6CWF8	0	425	539	0	66.79%	51%
R6Q8U6	0	425	538	0	99.81%	51%
R6VH04	0	425	538	0	79.55%	51%
A0A134A565	0	425	537	0	61.64%	51%
G5F580	0	425	537	0	98.88%	51%
E1QWT5	0	425	537	0	77.28%	51%
X8HTR3	0	425	537	0	97.58%	51%
K6WA01	0	425	537	0	52.14%	51%
F7KIC5	0	425	536	0	74.63%	51%
A0A173U4G7	0	425	535	0	70.47%	51%
A0A173URG1	0	425	535	0	99.25%	51%
A0A173WPY0	0	425	535	0	99.07%	51%
A0A173YY73	0	425	535	0	99.44%	51%
A0A174TPJ2	0	425	535	0	98.13%	51%
A0A1Q2C5W1	0	425	535	0	99.25%	51%
E5VMV0	0	425	535	0	99.81%	51%
L1QCA9	0	425	535	0	97.38%	51%
R5YZI7	0	425	535	0	99.44%	51%
A0A1Q6NNY3	0	425	535	0	71.78%	51%
R5QM40	0	425	535	0	66.73%	51%
R5V7N4	0	425	534	0	70.97%	51%
A0A1C5SHI1	0	425	534	0	90.26%	51%
A0A1C5TKN6	0	425	534	0	90.26%	51%
B0G2K2	0	425	534	0	90.07%	51%
R6TCT1	0	425	534	0	90.07%	51%
A0A173VIP2	0	425	534	0	89.33%	51%
A0A174FUC8	0	425	534	0	93.82%	51%
A0A174M0Z7	0	425	534	0	93.82%	51%
A0A174ZGH6	0	425	534	0	98.88%	51%
A0A1C5MKS9	0	425	534	0	91.57%	51%
A0A1C5RU69	0	425	534	0	92.70%	51%
A0A1C5VFF0	0	425	534	0	92.13%	51%
A0A1C6AAJ2	0	425	534	0	92.88%	51%
A0A1C6G124	0	425	534	0	90.45%	51%
A0A285PW22	0	425	534	0	91.01%	51%
A5ZP15	0	425	534	0	93.82%	51%
D4LZM5	0	425	534	0	99.63%	51%
G1WV24	0	425	534	0	94.94%	51%
R6P0B6	0	425	534	0	98.50%	51%
A0A174YJ61	0	425	534	0	74.91%	51%
A0A174ZS82	0	425	534	0	99.81%	51%
G5F733	0	425	534	0	72.10%	51%
I5AXB9	0	425	534	0	71.91%	51%
A0A143WZA5	0	425	533	0	81.99%	51%
e3083f8b6a31d463a61	0	425	533	0	72.23%	51%
A0A1Q6QT27	0	425	533	0	83.86%	51%
D4JZ93	0	425	533	0	95.68%	51%
E2ZI43	0	425	533	0	75.98%	51%
