id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
691883.XP_009497863	0	26	1586	1	100	100%
34349.G7E4I0	0	26	385	0	62.60%	24%
pgr:PGTG_05657	0	26	383	0	71.02%	24%
45157.CMS125CT	0	26	382	0	63.61%	24%
5786.XP_003288839.1	0	26	381	0	63.25%	24%
4896.SPCC13B11.04c.	0	26	380	0	61.05%	23%
529818.AMSG_04290T1	0	26	380	0	65.53%	23%
36080.S2JH11	0	26	379	0	70.98%	23%
109760.SPPG_07544T0	0	26	379	0	70.45%	23%
dfa:DFA_11040	0	26	379	0	70.98%	23%
44689.DDB0238276	0	26	379	0	89.45%	23%
6412.HelroP95088	0	26	379	0	62.01%	23%
192875.XP_004343198	0	26	378	0	62.96%	23%
203908.EGG03932	0	26	378	0	71.16%	23%
27923.ML182511a-PA	0	26	377	0	60.74%	23%
65672.G4TF81	0	26	377	0	62.86%	23%
78898.MVEG_02542T0	0	26	377	0	66.31%	23%
ccp:CHC_T0001006600	0	26	377	0	61.01%	23%
130081.XP_005705275	0	26	375	0	64.00%	23%
148960.XP_006960440	0	26	375	0	62.93%	23%
588596.U9U895	0	26	374	0	64.17%	23%
245174.XP_009270112	0	26	372	0	83.60%	23%
5297.GMQ_16589T0	0	26	356	0	93.26%	22%
588596.U9TSS6	0	26	253	0	79.45%	15%
588596.U9TMF6	0	26	107	0	80.37%	6%
A0A447T6V2	0	26	69	0	72.46%	4%
A0A1Q9E2B8	1	1	1509	1	100	100%
plj:VFPFJ_08679	2	173	1228	1	100	100%
27288.XP_003674353.	2	173	451	0	63.19%	36%
1005962.W1Q6V1	2	173	405	0	75.56%	32%
61273.S3CHB5	2	173	393	0	84.22%	32%
655981.L8FUD9	2	173	392	0	80.87%	31%
psco:LY89DRAFT_6843	2	173	392	0	83.93%	31%
61459.XP_007779355.	2	173	390	0	81.03%	31%
72228.T5AA31	2	173	390	0	85.64%	31%
92637.XP_007810253.	2	173	389	0	90.75%	31%
5037.XP_001537784.1	2	173	388	0	72.68%	31%
83344.XP_007920093.	2	173	387	0	81.40%	31%
4932.YDL168W	2	173	386	0	81.61%	31%
64363.EME49466	2	173	386	0	82.64%	31%
85929.N1QNB4	2	173	386	0	81.87%	31%
qsu:111989044	2	173	386	0	82.12%	31%
qsu:111992949	2	173	386	0	97.93%	31%
4950.XP_003680298.1	2	173	385	0	85.19%	31%
4909.A0A099NZH6	2	173	385	0	73.77%	31%
140110.NechaP100552	2	173	385	0	86.75%	31%
293227.XP_008715455	2	173	385	0	82.60%	31%
43228.XP_007738631.	2	173	385	0	81.04%	31%
310453.XP_007582116	2	173	385	0	90.39%	31%
35725.K2S746	2	173	385	0	90.39%	31%
1047171.Mycgr3P5444	2	173	385	0	90.65%	31%
430998.XP_007673705	2	173	385	0	90.39%	31%
