id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
383372.Rcas_0805	0	1	2161	1	100	100%
56107.Cylst_1842	1	42	1869	1	100	100%
118163.Ple7327_0103	1	42	629	0	54.37%	33%
len:LEP3755_06110	1	42	253	0	85.77%	13%
1229172.JQFA0100000	1	42	249	0	85.94%	13%
1173029.JH980292_ge	1	42	247	0	80.17%	13%
1128427.KB904821_ge	1	42	246	0	91.46%	13%
428312976	1	42	246	0	90.65%	13%
len:LEP3755_26250	1	42	241	0	77.18%	12%
16332195	1	42	234	0	52.99%	12%
186687169	1	42	228	0	51.75%	12%
434385917	1	42	228	0	60.53%	12%
32057.KB217478_gene	1	42	227	0	72.57%	12%
158336600	1	42	227	0	62.56%	12%
1541065.JRFE0100003	1	42	226	0	68.14%	12%
1541065.JRFE0100005	1	42	226	0	81.42%	12%
427713828	1	42	226	0	67.26%	12%
388467.A19Y_4519	1	42	226	0	61.06%	12%
428203066	1	42	225	0	74.22%	12%
428318839	1	42	225	0	76.00%	12%
1173021.ALWA0100003	1	42	224	0	72.32%	11%
186686237	1	42	224	0	84.38%	11%
1173021.ALWA0100003	1	42	224	0	83.04%	11%
443329729	1	42	224	0	93.30%	11%
643473.KB235931_gen	1	42	224	0	92.41%	11%
428204747	1	42	224	0	79.02%	11%
118168.MC7420_589	1	42	224	0	70.54%	11%
428775284	1	42	224	0	61.61%	11%
102232.GLO73106DRAF	1	42	223	0	66.52%	11%
WP_095722349.1	1	42	222	0	82.88%	11%
A0A6P2AD51	1	42	222	0	81.53%	11%
118166.JH976537_gen	1	42	219	0	63.06%	11%
1229172.JQFA0100000	1	42	219	0	94.06%	11%
A0A2T2W215	1	42	219	0	93.61%	11%
WP_106903591.1	1	42	219	0	93.15%	11%
428200891	1	42	219	0	54.79%	11%
A0A2W6ZWC3	1	42	218	0	93.58%	11%
118173.KB235912_gen	1	42	151	0	54.30%	8%
434399428	1	42	143	0	71.33%	7%
272134.KB731324_gen	1	42	130	0	66.52%	6%
1173264.KI913949_ge	1	42	122	0	72.65%	6%
313624.NSP_4280	1	42	121	0	85.95%	6%
272134.KB731325_gen	1	42	110	0	91.82%	5%
404589.Anae109_0540	2	2	1816	1	100	100%
1463881.KL591003_ge	2	2	59	0	57.63%	3%
643473.KB235930_gen	3	2	250	1	100	100%
427721109	3	2	234	0	90.60%	93%
756067.MicvaDRAFT_0	4	33	1640	1	100	100%
179408.Osc7112_5370	4	33	1632	0	83.76%	99%
99598.Cal7507_1577	4	33	1275	0	53.33%	77%
1298863.AUEP0100000	4	33	236	0	60.16%	14%
882083.SacmaDRAFT_4	4	33	236	0	52.80%	14%
1068978.AMETH_2405	4	33	232	0	72.84%	14%
1449976.KALB_737	4	33	229	0	71.18%	13%
1089544.KB912942_ge	4	33	227	0	73.39%	13%
330084.JNYZ01000018	4	33	227	0	92.95%	13%
591158.SSMG_05529	4	33	227	0	94.71%	13%
649831.L083_3365	4	33	225	0	71.56%	13%
1068980.ARVW0100000	4	33	225	0	73.82%	13%
397278.JOJN01000003	4	33	224	0	91.07%	13%
A0A6B2DK62	4	33	221	0	90.05%	13%
40571.JOEA01000022_	4	33	219	0	84.93%	13%
68170.KL590472_gene	4	33	219	0	94.98%	13%
1089545.KB913037_ge	4	33	218	0	85.84%	13%
208444.JNYY01000009	4	33	218	0	90.83%	13%
287986.DV20_26580	4	33	218	0	94.04%	13%
345341.KUTG_02832	4	33	217	0	82.49%	13%
397278.JOJN01000006	4	33	216	0	83.80%	13%
1120949.KB903294_ge	4	33	126	0	52.38%	7%
543632.JOJL01000021	4	33	126	0	81.75%	7%
649831.L083_2388	4	33	125	0	69.60%	7%
556565231	4	33	124	0	83.87%	7%
134676.ACPL_1964	4	33	124	0	62.90%	7%
512565.AMIS_17140	4	33	124	0	93.55%	7%
556565212	4	33	124	0	92.74%	7%
1869.MB27_00730	4	33	124	0	88.71%	7%
649831.L083_2376	4	33	124	0	91.13%	7%
543632.JOJL01000021	4	33	124	0	85.48%	7%
33876.JNXY01000009_	4	33	124	0	79.84%	7%
68170.KL590518_gene	4	33	124	0	63.71%	7%
240292.Ava_0238	5	16	1629	1	100	100%
111780.Sta7437_2965	5	16	609	0	62.89%	37%
1541065.JRFE0100002	5	16	364	0	66.07%	22%
41431.PCC8801_0476	5	16	364	0	72.53%	22%
43989.cce_2546	5	16	364	0	81.04%	22%
428201889	5	16	364	0	76.10%	22%
102125.Xen7305DRAFT	5	16	229	0	51.56%	14%
118161.KB235922_gen	5	16	228	0	81.14%	13%
428219153	5	16	228	0	50.44%	13%
1541065.JRFE0100001	5	16	226	0	84.07%	13%
434398610	5	16	226	0	80.97%	13%
102232.GLO73106DRAF	5	16	223	0	71.30%	13%
A0A6P2AD51	5	16	222	0	81.53%	13%
118161.KB235922_gen	5	16	222	0	72.65%	13%
chon:NIES4102_04350	5	16	222	0	85.59%	13%
WP_106235142.1	5	16	222	0	82.88%	13%
211165.AJLN01000040	6	32	1531	1	100	100%
864702.OsccyDRAFT_4	6	32	258	0	60.00%	16%
len:LEP3755_06110	6	32	253	0	85.77%	16%
1487953.JMKF0100004	6	32	237	0	84.39%	15%
102125.Xen7305DRAFT	6	32	229	0	62.45%	14%
427737375	6	32	229	0	65.94%	14%
118161.KB235922_gen	6	32	228	0	81.14%	14%
1173024.KI912148_ge	6	32	228	0	65.25%	14%
1174528.JH992898_ge	6	32	228	0	90.79%	14%
306281.AJLK01000180	6	32	228	0	92.11%	14%
A0A2N6KZU7	6	32	228	0	91.67%	14%
A0A2N6LHB7	6	32	228	0	92.54%	14%
A0A2N6M2T2	6	32	228	0	92.54%	14%
A0A2N6MAT8	6	32	228	0	92.11%	14%
A0A2N6N476	6	32	228	0	91.67%	14%
A0A328IF64	6	32	228	0	91.23%	14%
fis:FIS3754_21360	6	32	228	0	92.11%	14%
WP_102171308.1	6	32	228	0	92.11%	14%
1541065.JRFE0100001	6	32	226	0	84.07%	14%
434398610	6	32	226	0	80.97%	14%
158338636	6	32	225	0	60.89%	14%
102232.GLO73106DRAF	6	32	223	0	71.30%	14%
A0A6P2AD51	6	32	222	0	81.53%	14%
118161.KB235922_gen	6	32	222	0	72.65%	14%
chon:NIES4102_04350	6	32	222	0	85.59%	14%
WP_106235142.1	6	32	222	0	82.88%	14%
272134.KB731324_gen	6	32	130	0	72.44%	8%
272134.KB731324_gen	6	32	130	0	85.53%	8%
306281.AJLK01000188	6	32	119	0	89.08%	7%
272134.KB731325_gen	6	32	110	0	91.82%	7%
272134.KB731325_gen	6	32	110	0	91.82%	7%
91464.S7335_3594	6	32	102	0	85.29%	6%
411901.BACCAC_01751	7	2	1516	1	100	100%
411476.BACOVA_04904	7	2	1511	0	89.21%	99%
272123.Anacy_4264	8	96	1475	1	100	100%
63737.Npun_R3078	8	96	624	0	51.12%	42%
1337936.IJ00_01120	8	96	597	0	67.84%	40%
102129.Lepto7375DRA	8	96	263	0	73.57%	17%
len:LEP3755_06110	8	96	253	0	85.77%	17%
427713333	8	96	251	0	90.04%	17%
1229172.JQFA0100000	8	96	249	0	85.94%	16%
428309726	8	96	248	0	91.94%	16%
402777.KB235903_gen	8	96	247	0	93.12%	16%
428316884	8	96	247	0	91.90%	16%
65393.PCC7424_4207	8	96	247	0	92.71%	16%
166364957	8	96	246	0	91.46%	16%
428203515	8	96	246	0	91.87%	16%
434397268	8	96	246	0	92.28%	16%
1173028.ANKO0100019	8	96	245	0	92.24%	16%
118168.MC7420_5692	8	96	245	0	92.24%	16%
864702.OsccyDRAFT_2	8	96	245	0	93.88%	16%
102232.GLO73106DRAF	8	96	244	0	91.39%	16%
1140.Synpcc7942_145	8	96	244	0	92.21%	16%
428769888	8	96	244	0	90.98%	16%
