id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
177437.HRM2_08670	0	1	1318	1	100	100%
553385.JEMF01000097	1	1	997	1	100	100%
1122139.KB907888_ge	2	1	982	1	100	100%
225937.HP15_3723	3	4	978	1	100	100%
626887.J057_07316	3	4	945	0	71.43%	96%
1479237.JMLY0100000	3	4	944	0	78.81%	96%
1415754.JQMK0100001	3	4	942	0	90.02%	96%
1122243.KB903787_ge	4	2	974	1	100	100%
1230338.MOMA_04880	4	2	965	0	80.21%	99%
1178482.BJB45_11805	5	1	971	1	100	100%
1046625.AFQY0100000	6	12	966	1	100	100%
A0A2U3MH05	6	12	954	0	98.85%	98%
WP_071321182.1	6	12	954	0	98.74%	98%
520709.F985_02454	6	12	953	0	72.51%	98%
575564.HMPREF0014_0	6	12	952	0	94.75%	98%
1217652.F954_02043	6	12	951	0	79.18%	98%
436717.AOLE_08075	6	12	951	0	88.96%	98%
1331660.L313_0178	6	12	950	0	71.05%	98%
62977.ACIAD1990	6	12	950	0	72.74%	98%
487316.BBNM01000004	6	12	949	0	88.94%	98%
1392540.P256_02419	6	12	947	0	77.40%	98%
871585.BDGL_001425	6	12	933	0	94.75%	96%
1397528.Q671_01720	7	13	965	1	100	100%
574966.KB898649_gen	7	13	965	0	71.30%	100%
1121943.KB899990_ge	7	13	958	0	72.03%	99%
290398.Csal_2648	7	13	958	0	72.44%	99%
1479235.KK366039_ge	7	13	957	0	72.00%	99%
768066.HELO_3698	7	13	957	0	74.19%	99%
1118153.MOY_10980	7	13	956	0	80.54%	99%
1415755.JQLV0100000	7	13	956	0	80.96%	99%
1504981.KO116_1999	7	13	956	0	90.17%	99%
232346.JHQL01000001	7	13	955	0	90.16%	98%
1121939.L861_10865	7	13	954	0	76.31%	98%
1166948.JPZL0100000	7	13	954	0	87.11%	98%
1492922.GY26_18605	7	13	560	0	80.00%	58%
1226994.AMZB0100007	8	13	964	1	100	100%
1437882.AZRU0100004	8	13	964	0	92.01%	100%
1294143.H681_05000	8	13	959	0	85.30%	99%
1301098.PKB_4729	8	13	959	0	73.41%	99%
95619.PM1_0205935	8	13	958	0	85.28%	99%
287.DR97_4380	8	13	956	0	72.59%	99%
WP_034080370.1	8	13	956	0	94.67%	99%
A0A485FAJ3	8	13	955	0	93.72%	99%
A0A6I7I1M7	8	13	426	0	99.77%	44%
A0A4P0UC43	8	13	280	0	94.64%	29%
A0A485FTF2	8	13	203	0	99.51%	21%
A0A5E5R7N7	8	13	186	0	96.24%	19%
A0A5E5R8N8	8	13	94	0	80.85%	9%
1395571.TMS3_011984	9	40	962	1	100	100%
1109445.AGSX0100005	9	40	960	0	71.98%	99%
1333856.L686_18580	9	40	960	0	94.90%	99%
644801.Psest_3355	9	40	960	0	92.29%	99%
1218352.B597_012005	9	40	960	0	88.96%	99%
379731.PST_0988	9	40	960	0	92.92%	99%
1212548.B381_15708	9	40	958	0	92.80%	99%
1179778.PMM47T1_181	9	40	957	0	70.22%	99%
216142.LT40_20050	9	40	957	0	84.43%	99%
322710.Avin_12190	9	40	957	0	81.61%	99%
743720.Psefu_0606	9	40	957	0	75.34%	99%
1038922.PflQ2_0740	9	40	954	0	83.65%	99%
1211112.ALJC0100010	9	40	954	0	83.75%	99%
WP_122251205.1	9	40	954	0	84.28%	99%
1001585.MDS_0900	9	40	953	0	72.19%	99%
1390370.O203_05020	9	40	953	0	92.86%	99%
301.JNHE01000001_ge	9	40	953	0	91.40%	99%
1042209.HK44_012110	9	40	953	0	90.77%	99%
1124983.PFLCHA0_c08	9	40	953	0	84.26%	99%
1207075.PputUW4_007	9	40	953	0	90.77%	99%
1395516.PMO01_03475	9	40	953	0	91.82%	99%
1419583.V466_16525	9	40	953	0	90.66%	99%
587753.EY04_03650	9	40	953	0	92.65%	99%
1206777.B195_12391	9	40	953	0	94.44%	99%
911239.CF149_06164	9	40	953	0	94.12%	99%
A0A449INK9	9	40	953	0	93.70%	99%
WP_095024068.1	9	40	953	0	93.70%	99%
399739.Pmen_0786	9	40	952	0	88.13%	98%
1163398.AJJP0100000	9	40	952	0	80.88%	98%
1470593.BW43_02073	9	40	952	0	96.43%	98%
A0A1B5CMI8	9	40	952	0	95.69%	98%
WP_017845457.1	9	40	952	0	94.85%	98%
WP_047881665.1	9	40	952	0	94.96%	98%
WP_102604569.1	9	40	952	0	93.80%	98%
1151127.KB906334_ge	9	40	945	0	91.75%	98%
A0A449IHL9	9	40	892	0	91.03%	92%
A0A1C3GMP8	9	40	361	0	97.23%	37%
A0A109LM40	9	40	313	0	91.05%	32%
686578.AFFX01000011	9	40	90	0	71.82%	9%
WP_069517943.1	9	40	90	0	81.11%	9%
1112217.PPL19_18352	10	2	960	1	100	100%
1207076.ALAT0100017	10	2	960	0	77.29%	100%
1122244.AUGF0100000	11	2	960	1	100	100%
WP_115370112.1	11	2	960	0	97.71%	100%
767434.Fraau_2970	12	1	959	1	100	100%
1304275.C41B8_06702	13	1	957	1	100	100%
205918.Psyr_0821	14	31	956	1	100	100%
1357272.AVEO0200013	14	31	955	0	93.72%	99%
1441629.PCH70_43070	14	31	955	0	90.58%	99%
223283.PSPTO_0954	14	31	955	0	94.66%	99%
1149133.ppKF707_269	14	31	953	0	88.46%	99%
1245471.PCA10_16520	14	31	953	0	88.25%	99%
