id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
701176.VIBRN418_17218	0	1	1443	1	100	100%
589865.DaAHT2_0823	1	102	1414	1	100	100%
667014.Thein_2177	1	102	1362	0	41.12%	96%
589865.DaAHT2_2634	1	102	1326	0	51.51%	93%
1042156.CXIVA_21470	1	102	942	0	40.34%	66%
1122994.AUFR0100001	1	102	942	0	52.34%	66%
1089455.MOPEL_067_0	1	102	929	0	57.16%	65%
926569.ANT_29920	1	102	927	0	41.10%	65%
1298920.KI911353_ge	1	102	914	0	61.60%	64%
1304866.K413DRAFT_5	1	102	914	0	94.75%	64%
471855.Shel_25280	1	102	911	0	61.14%	64%
1458462.JNLK0100000	1	102	907	0	62.40%	64%
469378.Ccur_00220	1	102	906	0	61.48%	64%
1158608.I583_00658	1	102	906	0	70.09%	64%
1158609.I586_00939	1	102	906	0	94.26%	64%
1158612.I580_01653	1	102	906	0	94.48%	64%
A0A2Z6BIN4	1	102	906	0	83.00%	64%
C0X554	1	102	906	0	99.45%	64%
1336241.JAEB0100000	1	102	904	0	73.23%	63%
913848.AELK01000041	1	102	904	0	55.42%	63%
1256908.HMPREF0373_	1	102	903	0	61.68%	63%
479437.Elen_2249	1	102	903	0	71.87%	63%
1121115.AXVN0100002	1	102	902	0	70.40%	63%
457412.RSAG_02172	1	102	902	0	99.67%	63%
1121866.AUGK0100000	1	102	902	0	60.20%	63%
1235794.C811_02408	1	102	902	0	90.35%	63%
1410612.JNKO0100001	1	102	902	0	74.83%	63%
1265507.KB899636_ge	1	102	902	0	61.53%	63%
1408324.JNJK0100000	1	102	901	0	75.80%	63%
877421.AUJT01000046	1	102	901	0	96.34%	63%
1410622.JNKY0100001	1	102	901	0	76.14%	63%
1200567.JNKD0100003	1	102	901	0	79.80%	63%
1408322.JHYK0100003	1	102	900	0	82.78%	63%
1124982.MSI_13090	1	102	899	0	78.42%	63%
1410609.JHVB0100001	1	102	899	0	94.66%	63%
1280671.AUJH0100000	1	102	899	0	72.86%	63%
1280680.AUJU0100002	1	102	899	0	93.33%	63%
671143.DAMO_0853	1	102	899	0	40.71%	63%
1123075.AUDP0100001	1	102	898	0	81.51%	63%
33035.JPJF01000080_	1	102	898	0	81.40%	63%
445973.CLOBAR_00259	1	102	898	0	80.96%	63%
1235793.C809_00630	1	102	895	0	76.09%	63%
1121296.JONJ0100000	1	102	894	0	84.00%	63%
1167006.UWK_03160	1	102	831	0	72.68%	58%
1167006.UWK_01654	1	102	829	0	60.43%	58%
