id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
34506.g6017	0	55	1890	1	100	100%
WP_024473924.1	0	55	343	0	96.79%	18%
WP_025152123.1	0	55	343	0	95.63%	18%
WP_032098573.1	0	55	343	0	96.50%	18%
WP_036414393.1	0	55	343	0	95.92%	18%
WP_036418526.1	0	55	343	0	96.50%	18%
WP_036424604.1	0	55	343	0	95.63%	18%
WP_046024293.1	0	55	343	0	96.21%	18%
WP_046892484.1	0	55	343	0	94.46%	18%
WP_054423643.1	0	55	343	0	94.17%	18%
WP_070580032.1	0	55	343	0	96.21%	18%
WP_081120196.1	0	55	343	0	96.50%	18%
WP_087825665.1	0	55	343	0	96.21%	18%
WP_107678398.1	0	55	343	0	95.04%	18%
WP_108657377.1	0	55	343	0	96.79%	18%
WP_123569055.1	0	55	343	0	96.21%	18%
WP_126323952.1	0	55	343	0	96.79%	18%
WP_127376428.1	0	55	343	0	95.34%	18%
WP_141178951.1	0	55	343	0	96.50%	18%
455738877	0	55	338	0	96.15%	17%
A0A2X1UE62	0	55	338	0	94.08%	17%
WP_067361316.1	0	55	338	0	81.36%	17%
WP_067402497.1	0	55	338	0	94.67%	17%
WP_067426674.1	0	55	338	0	94.67%	17%
WP_067361319.1	0	55	285	0	85.96%	15%
455738879	0	55	280	0	99.64%	14%
WP_024473923.1	0	55	280	0	98.57%	14%
WP_046892482.1	0	55	280	0	96.43%	14%
WP_049242946.1	0	55	280	0	98.21%	14%
WP_062772483.1	0	55	280	0	99.29%	14%
WP_070580034.1	0	55	280	0	98.93%	14%
WP_087825664.1	0	55	280	0	98.57%	14%
WP_107678399.1	0	55	280	0	96.07%	14%
WP_112550680.1	0	55	280	0	96.43%	14%
WP_115983696.1	0	55	280	0	98.21%	14%
WP_119312878.1	0	55	280	0	98.93%	14%
WP_123569054.1	0	55	280	0	98.93%	14%
WP_127376430.1	0	55	280	0	96.07%	14%
WP_141178953.1	0	55	280	0	98.93%	14%
WP_152695979.1	0	55	280	0	98.21%	14%
455738878	0	55	275	0	86.18%	14%
WP_004241992.1	0	55	275	0	99.27%	14%
WP_025152124.1	0	55	275	0	99.64%	14%
WP_046892483.1	0	55	275	0	98.91%	14%
WP_049242949.1	0	55	275	0	98.91%	14%
WP_072871731.1	0	55	275	0	99.27%	14%
WP_108657376.1	0	55	275	0	99.27%	14%
WP_115983695.1	0	55	275	0	99.64%	14%
WP_127376429.1	0	55	275	0	99.27%	14%
WP_141178952.1	0	55	275	0	98.91%	14%
WP_152713523.1	0	55	275	0	98.91%	14%
WP_067361318.1	0	55	275	0	80.73%	14%
WP_067402494.1	0	55	275	0	99.27%	14%
WP_067426677.1	0	55	275	0	98.91%	14%
A0A3S4E5V8	0	55	265	0	95.85%	14%
529818.AMSG_11846T0	1	1	1342	1	100	100%
132908.ENSPVAP00000	2	1	977	1	100	100%
1381123.AYOD0100000	3	1	950	1	100	100%
37682.EMT28691	4	1	870	1	100	100%
67352.JODS01000027_	5	1	858	1	100	100%
WP_027001166.1	6	1	856	1	100	100%
439235.Dalk_2931	7	1	846	1	100	100%
59538.XP_005973514.	8	1	818	1	100	100%
31234.CRE22736	9	11	774	1	100	100%
1217656.F964_03226	9	11	575	0	86.78%	74%
WP_004830636.1	9	11	575	0	80.00%	74%
WP_005031695.1	9	11	575	0	99.83%	74%
WP_035301541.1	9	11	575	0	99.65%	74%
WP_058967654.1	9	11	575	0	99.65%	74%
WP_151798161.1	9	11	575	0	99.65%	74%
WP_151806175.1	9	11	575	0	99.48%	74%
WP_151811446.1	9	11	575	0	98.96%	74%
WP_151959467.1	9	11	575	0	99.48%	74%
WP_151961307.1	9	11	575	0	99.48%	74%
WP_103270585.1	10	157	753	1	100	100%
WP_001166778.1	10	157	400	0	96.00%	53%
WP_001166805.1	10	157	400	0	99.75%	53%
WP_001166808.1	10	157	400	0	95.75%	53%
WP_001166809.1	10	157	400	0	97.25%	53%
WP_001166810.1	10	157	400	0	96.50%	53%
WP_001166811.1	10	157	400	0	96.75%	53%
WP_001166813.1	10	157	400	0	95.75%	53%
WP_001166814.1	10	157	400	0	95.50%	53%
WP_001166816.1	10	157	400	0	95.50%	53%
WP_001166817.1	10	157	400	0	95.50%	53%
WP_002045669.1	10	157	400	0	96.50%	53%
WP_002054860.1	10	157	400	0	96.00%	53%
WP_002133198.1	10	157	400	0	96.25%	53%
WP_002157165.1	10	157	400	0	96.00%	53%
WP_004747591.1	10	157	400	0	95.50%	53%
WP_005076639.1	10	157	400	0	95.50%	53%
WP_005111235.1	10	157	400	0	95.25%	53%
WP_005124281.1	10	157	400	0	96.25%	53%
WP_005128937.1	10	157	400	0	96.50%	53%
WP_005132332.1	10	157	400	0	95.25%	53%
WP_005304134.1	10	157	400	0	96.75%	53%
WP_009391131.1	10	157	400	0	96.25%	53%
WP_016141405.1	10	157	400	0	95.50%	53%
WP_016804481.1	10	157	400	0	97.75%	53%
WP_017385550.1	10	157	400	0	95.75%	53%
WP_017481532.1	10	157	400	0	96.25%	53%
WP_019204710.1	10	157	400	0	96.00%	53%
WP_019457628.1	10	157	400	0	96.00%	53%
WP_025466684.1	10	157	400	0	97.00%	53%
WP_031380578.1	10	157	400	0	96.50%	53%
WP_031950164.1	10	157	400	0	96.00%	53%
WP_031955015.1	10	157	400	0	96.00%	53%
WP_031955308.1	10	157	400	0	96.00%	53%
WP_031961733.1	10	157	400	0	96.00%	53%
WP_031965919.1	10	157	400	0	96.75%	53%
WP_031967763.1	10	157	400	0	95.75%	53%
WP_031976048.1	10	157	400	0	95.75%	53%
WP_031977379.1	10	157	400	0	96.00%	53%
WP_031988420.1	10	157	400	0	97.00%	53%
WP_031997398.1	10	157	400	0	96.00%	53%
WP_032001264.1	10	157	400	0	95.75%	53%
WP_032006811.1	10	157	400	0	94.75%	53%
WP_032009988.1	10	157	400	0	95.25%	53%
WP_032018052.1	10	157	400	0	96.00%	53%
WP_032030698.1	10	157	400	0	96.00%	53%
WP_032034378.1	10	157	400	0	95.75%	53%
WP_032042665.1	10	157	400	0	94.50%	53%
WP_032052975.1	10	157	400	0	96.25%	53%
WP_032053597.1	10	157	400	0	95.50%	53%
WP_032059134.1	10	157	400	0	95.75%	53%
WP_032060980.1	10	157	400	0	96.75%	53%
WP_032062731.1	10	157	400	0	95.25%	53%
WP_033841884.1	10	157	400	0	96.00%	53%
WP_033850291.1	10	157	400	0	96.00%	53%
WP_033856016.1	10	157	400	0	95.25%	53%
WP_038342233.1	10	157	400	0	96.00%	53%
WP_042076093.1	10	157	400	0	95.75%	53%
WP_043053624.1	10	157	400	0	96.00%	53%
WP_044101962.1	10	157	400	0	96.25%	53%
WP_045544287.1	10	157	400	0	96.25%	53%
WP_045899919.1	10	157	400	0	96.25%	53%
WP_046128222.1	10	157	400	0	96.25%	53%
WP_049068337.1	10	157	400	0	96.50%	53%
WP_057053506.1	10	157	400	0	97.25%	53%
WP_057069279.1	10	157	400	0	94.75%	53%
WP_057085161.1	10	157	400	0	95.00%	53%
WP_057094536.1	10	157	400	0	97.25%	53%
WP_060465837.1	10	157	400	0	95.25%	53%
WP_060470057.1	10	157	400	0	96.00%	53%
WP_062937157.1	10	157	400	0	96.25%	53%
WP_063098579.1	10	157	400	0	97.00%	53%
WP_064784487.1	10	157	400	0	96.00%	53%
WP_065184256.1	10	157	400	0	96.00%	53%
WP_065709641.1	10	157	400	0	96.00%	53%
WP_068528563.1	10	157	400	0	95.25%	53%
WP_068555463.1	10	157	400	0	96.50%	53%
WP_068565343.1	10	157	400	0	96.50%	53%
WP_068611262.1	10	157	400	0	96.75%	53%
WP_068931157.1	10	157	400	0	95.75%	53%
