id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
3055.EDO97057	0	1	1868	1	100	100%
fc2af47fa813ebb79b3	1	26	1252	1	100	100%
e62891fd87b2775527c	1	26	957	0	95.30%	76%
U5WUY8	1	26	780	0	86.54%	62%
2470863d5516dc5954f	1	26	776	0	80.93%	61%
1041522.MCOL_19202	1	26	776	0	90.98%	61%
A0A1Y0TC24	1	26	776	0	90.72%	61%
A0A249BB62	1	26	776	0	90.98%	61%
H8ILH0	1	26	776	0	90.98%	61%
I2AHP1	1	26	776	0	90.98%	61%
X8CIV6	1	26	776	0	90.98%	61%
38e57622789881a68e2	1	26	775	0	96.13%	61%
A0A1X2L1P0	1	26	774	0	80.23%	61%
A0A249B686	1	26	774	0	97.03%	61%
H8ISW4	1	26	774	0	99.74%	61%
J9WCN2	1	26	774	0	98.58%	61%
L7V4F6	1	26	774	0	90.83%	61%
S4Z6X2	1	26	774	0	99.48%	61%
f200b96e5f3e4b32917	1	26	774	0	90.83%	61%
b61099029c5c1ad32dd	1	26	756	0	99.60%	60%
e4f39f1e78e1aacef27	1	26	756	0	97.35%	60%
I2AC04	1	26	756	0	99.34%	60%
5f905bad740d2cf1a11	1	26	747	0	99.46%	59%
26a30070625b620f87e	1	26	663	0	80.84%	52%
3f9b18fff51354c9e68	1	26	551	0	99.64%	44%
A0A200GV15	1	26	551	0	99.82%	44%
Q73V36	1	26	174	0	81.61%	13%
F8D3W3	2	1	1114	1	100	100%
L0K3P9	3	1	1088	1	100	100%
D2RXT4	4	1	1077	1	100	100%
672f7fd69b42edf88df	5	119	1064	1	100	100%
pag:PLES_16681	5	119	639	0	98.75%	60%
A0A081YBH5	5	119	637	0	87.44%	59%
A0A127MKJ3	5	119	637	0	99.84%	59%
A0A1I1I8F2	5	119	637	0	98.74%	59%
4cdfa2f938293d7e8aa	5	119	636	0	99.06%	59%
963766858a132abff7c	5	119	636	0	99.06%	59%
A0A0H3R0V4	5	119	636	0	98.90%	59%
A0A157WIN4	5	119	636	0	99.06%	59%
A0A1D5C360	5	119	636	0	99.06%	59%
A6V237	5	119	636	0	98.27%	59%
de5dd118f8793a00c44	5	119	636	0	98.90%	59%
Q9HYL2	5	119	636	0	99.21%	59%
A0A0C2S3A9	5	119	636	0	81.45%	59%
A0A1G9VM60	5	119	636	0	99.53%	59%
M4X3Z5	5	119	636	0	86.16%	59%
A0A0F0DQQ0	5	119	635	0	94.02%	59%
A0A1B8TMY9	5	119	635	0	94.33%	59%
A0A1B8VGB9	5	119	635	0	94.33%	59%
A0A1V9UQX3	5	119	635	0	94.80%	59%
55a8e3282886dc2556f	5	119	595	0	98.99%	55%
83df29ba983e5fe162b	5	119	595	0	98.82%	55%
afd00846bada00a8864	5	119	555	0	98.92%	52%
189ef28f4c433865312	5	119	528	0	93.37%	49%
O68182	5	119	522	0	90.23%	49%
O68181	5	119	512	0	90.43%	48%
Q845E2	5	119	372	0	80.91%	34%
Q845E4	5	119	371	0	84.91%	34%
Q9X517	5	119	370	0	91.89%	34%
Q845E1	5	119	370	0	80.00%	34%
Q845E3	5	119	370	0	84.86%	34%
Q0VJK1	5	119	358	0	82.40%	33%
A2BCV0	5	119	336	0	94.35%	31%
A2BCV1	5	119	336	0	94.94%	31%
A2BCV3	5	119	336	0	98.81%	31%
A2BCV5	5	119	304	0	98.03%	28%
A0A0B4UFZ0	5	119	233	0	80.69%	21%
B6V0S3	5	119	233	0	84.55%	21%
B6V0Y7	5	119	233	0	81.12%	21%
A0A0N9PWZ1	5	119	229	0	92.58%	21%
A0A223PM68	5	119	229	0	98.69%	21%
A0A223PM81	5	119	229	0	96.07%	21%
A0A223PM84	5	119	229	0	97.82%	21%
A0A223PM89	5	119	229	0	98.25%	21%
A0A223PMA7	5	119	229	0	97.82%	21%
A0A223PMC2	5	119	229	0	94.76%	21%
A0A223PMC8	5	119	229	0	98.25%	21%
A0A223PMR9	5	119	229	0	97.82%	21%
A0A223PMS1	5	119	229	0	97.82%	21%
A0A223PN12	5	119	229	0	98.69%	21%
A0A223PN18	5	119	229	0	98.25%	21%
A0A223PN39	5	119	229	0	97.82%	21%
A0A223PN53	5	119	229	0	98.25%	21%
A0A223PN55	5	119	229	0	97.82%	21%
A0A223PN88	5	119	229	0	97.38%	21%
A0A223PNE0	5	119	229	0	98.69%	21%
A0A223PNG8	5	119	229	0	99.13%	21%
A0A223PNI4	5	119	229	0	97.82%	21%
A0A223PNI9	5	119	229	0	98.69%	21%
A0A223PNJ1	5	119	229	0	98.25%	21%
A0A223PNK2	5	119	229	0	97.82%	21%
A0A223PNK4	5	119	229	0	98.25%	21%
A0A223PNK6	5	119	229	0	99.13%	21%
A0A223PNS0	5	119	229	0	99.13%	21%
A0A223PNV5	5	119	229	0	98.69%	21%
A0A223PNV8	5	119	229	0	98.69%	21%
A0A223PNW1	5	119	229	0	98.69%	21%
A0A223PNX3	5	119	229	0	97.38%	21%
A0A223PNX8	5	119	229	0	98.69%	21%
A0A223PNY2	5	119	229	0	98.69%	21%
A0A223PNY9	5	119	229	0	99.13%	21%
A0A223PNZ5	5	119	229	0	98.25%	21%
A0A223PP01	5	119	229	0	98.69%	21%
A0A223PP05	5	119	229	0	98.25%	21%
A0A223PP09	5	119	229	0	97.82%	21%
A0A223PP10	5	119	229	0	98.25%	21%
A0A223PP19	5	119	229	0	97.38%	21%
A0A223PP20	5	119	229	0	98.69%	21%
A0A223PP23	5	119	229	0	98.69%	21%
A0A223PP27	5	119	229	0	98.69%	21%
A0A223PP40	5	119	229	0	98.69%	21%
A0A223PP43	5	119	229	0	98.25%	21%
A0A223PP50	5	119	229	0	98.25%	21%
A0A223PNF3	5	119	229	0	87.34%	21%
A0A223PNF6	5	119	229	0	98.25%	21%
G0YIC4	5	119	226	0	97.79%	21%
G0YIC5	5	119	225	0	97.33%	21%
A0A0N9PWY2	5	119	223	0	82.51%	20%
D1M8R3	5	119	222	0	98.20%	20%
A0A0N9PIG8	5	119	219	0	94.52%	20%
A0A0N9PIF7	5	119	216	0	99.54%	20%
A0A0N9PW94	5	119	202	0	99.50%	18%
A0A0E4FJK0	5	119	158	0	85.44%	14%
Q05J94	5	119	158	0	90.51%	14%
A0A1L5YF07	5	119	152	0	84.21%	14%
A0A1L5YF19	5	119	152	0	99.34%	14%
A0A1L5L820	5	119	151	0	92.72%	14%
A0A1L5L8C5	5	119	151	0	93.38%	14%
K0A139	5	119	151	0	90.07%	14%
A0A1B1XVC9	5	119	151	0	80.13%	14%
D5JY94	5	119	151	0	80.79%	14%
A0A0A7M5X2	5	119	141	0	94.33%	13%
Q93N17	5	119	138	0	93.48%	12%
D7GLC5	5	119	138	0	95.65%	12%
A0A172Q4K8	5	119	127	0	93.70%	11%
E7D5G2	5	119	125	0	96.80%	11%
E7D5H4	5	119	125	0	96.80%	11%
E7D5H8	5	119	125	0	97.60%	11%
A0A0G6BS99	5	119	109	0	91.74%	10%
L8B8B2	5	119	89	0	96.63%	8%
