id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
Q8ILB1	0	1	3106	1	100	100%
pfd:PFDG_02810	1	1	3100	1	100	100%
pfh:PFHG_00264	2	1	3099	1	100	100%
A5K0P7	3	1	3060	1	100	100%
A0A1A7VUL3	4	1	3019	1	100	100%
K6UEH5	5	1	2991	1	100	100%
5821.PBANKA_100950	6	1	2962	1	100	100%
Q7RIA7	7	1	2957	1	100	100%
A0A077YFN9	8	1	2936	1	100	100%
Q4YNS3	9	1	2868	1	100	100%
B5RUT7	10	1	2738	1	100	100%
294746.XP_001483729	11	1	2679	1	100	100%
A5DMF7	12	1	2679	1	100	100%
653045.Strvi_6301	13	1	2375	1	100	100%
D8UHW6	14	1	2295	1	100	100%
F9XLK3	15	1	2273	1	100	100%
A9SM67	16	1	2260	1	100	100%
dsi:Dsim_GD12441	17	1	2252	1	100	100%
3218.PP1S93_131V6.1	18	1	2251	1	100	100%
pop:POPTR_594762	19	1	2230	1	100	100%
U5FWB7	20	1	2230	1	100	100%
3694.POPTR_0015s019	21	1	2228	1	100	100%
4081.Solyc03g083440	22	1	2226	1	100	100%
B9IDV4	23	1	2221	1	100	100%
pop:POPTR_824538	24	1	2221	1	100	100%
A0A0A0LDU9	25	1	2219	1	100	100%
A0A059DFA9	26	1	2218	1	100	100%
A0A067JE60	27	1	2218	1	100	100%
A0A1S3B4H4	28	1	2218	1	100	100%
A9SI17	29	1	2218	1	100	100%
E0CVI4	30	1	2216	1	100	100%
B9RII5	31	1	2215	1	100	100%
3218.PP1S81_196V6.1	32	1	2214	1	100	100%
3218.PP1S79_140V6.1	33	1	2213	1	100	100%
A0A1U7YHL8	34	1	2213	1	100	100%
vvi:100246868	35	1	2212	1	100	100%
3218.PP1S58_117V6.1	36	1	2210	1	100	100%
A0A0D2SRP4	37	1	2209	1	100	100%
A0A1U8NE82	38	1	2209	1	100	100%
Q9LV03	39	1	2208	1	100	100%
R0GMP6	40	1	2208	1	100	100%
A0A1U8A8W9	41	1	2207	1	100	100%
A0A1U8AFZ3	42	1	2207	1	100	100%
A9S9D2	43	1	2207	1	100	100%
cel:W07E11.1	44	1	2207	1	100	100%
D7MSY6	45	1	2207	1	100	100%
M5XRX2	46	1	2207	1	100	100%
A0A0D3B3N4	47	1	2203	1	100	100%
A0A1S3E5J5	48	1	2202	1	100	100%
A8IWA6	49	1	2201	1	100	100%
W1Q092	50	1	2201	1	100	100%
A0A1U8FCM6	51	1	2200	1	100	100%
3711.Bra029067.1-P	52	1	2199	1	100	100%
A0A087SLQ4	53	1	2197	1	100	100%
Q759I7	54	1	2195	1	100	100%
